endpoint,term,coef,ci_low,ci_high,p_value,base_R2,full_R2,n
translation_error_m,mismatch_block_partialR2,0.04326762386760286,0.009684736640179539,0.1697061020813822,,0.014462492866605392,0.057104359032668084,101
translation_error_m,intercept,0.7702657433948346,0.6443202132817067,0.8962112735079624,4.92333817225735e-21,,0.05710435903266786,101
translation_error_m,range,0.0647659460060116,-0.08679058324979971,0.2163224752618229,0.39836214281625953,,0.05710435903266786,101
translation_error_m,point_count,0.0012488445481714065,-0.12811408757511145,0.13061177667145424,0.9847494926282079,,0.05710435903266786,101
translation_error_m,excess_fraction,-0.08215436238698061,-0.2186617970951672,0.054353072321205995,0.23514542232390553,,0.05710435903266786,101
translation_error_m,r4_structured_frac,0.1258962629934859,-0.01682743313108359,0.2686199591180554,0.0831416125303932,,0.05710435903266786,101
translation_error_m,spatial_persistence,0.05376747891343009,-0.08373636117739072,0.1912713190042509,0.4395101416318591,,0.05710435903266786,101
attitude_error_deg,mismatch_block_partialR2,0.029692348395211725,0.006415662507852004,0.15927088059794348,,0.0322281027618353,0.060963523101725925,101
attitude_error_deg,intercept,65.3157263041463,56.41850834293908,74.21294426535351,5.835194328864959e-26,,0.060963523101725925,101
attitude_error_deg,range,9.73005542159393,-0.976410087915081,20.43652093110294,0.07436897704489902,,0.060963523101725925,101
attitude_error_deg,point_count,0.012408625212203983,-9.126226165302935,9.151043415727344,0.997854865929707,,0.060963523101725925,101
attitude_error_deg,excess_fraction,-3.0042341053846666,-12.64758070794427,6.639112497174937,0.5377430339625328,,0.060963523101725925,101
attitude_error_deg,r4_structured_frac,4.297652568394087,-5.784831752476938,14.380136889265112,0.39956100525173854,,0.060963523101725925,101
attitude_error_deg,spatial_persistence,6.9633807007555015,-2.75035534602696,16.677116747537962,0.15796977050419428,,0.060963523101725925,101
converged(LPM),intercept,0.0,0.0,0.0,,,,101
converged(LPM),range,0.0,0.0,0.0,,,,101
converged(LPM),point_count,0.0,0.0,0.0,,,,101
converged(LPM),excess_fraction,0.0,0.0,0.0,,,,101
converged(LPM),spatial_persistence,0.0,0.0,0.0,,,,101
