analysis,group,n_scans,mean_translation_error_m,std_translation_error_m,mean_bias_vector_x,mean_bias_vector_y,mean_bias_vector_z,bias_vector_norm_m,bias_significance_p,mean_attitude_error_deg,std_attitude_error_deg,rotation_bias_axis_x,rotation_bias_axis_y,rotation_bias_axis_z,axis_concentration,half1_half2_bias_cosine,notes,half1_half2_axis_cosine
ALL,ALL,101,0.7702657433948346,0.6399676335584916,0.2736350827008394,0.0058852307644744715,0.027622697960607602,0.27508872726534855,6.492726758095894e-07,65.31572630414631,45.30228040066423,0.7418435413171175,0.6544331458313356,-0.14623753910463552,0.45631918136236743,,excess_median_split=0.0036,
HIGH_mismatch(excess>median),HIGH_mismatch(excess>median),50,0.7296381830449744,0.6091398852419959,0.27885981945745825,0.04667601214167726,0.021955266937667556,0.28359034321288246,0.0028261293154868967,64.79266952802234,47.478793965359834,0.7613668746524995,0.639242611858753,-0.10811736847465712,0.4318207008012386,,excess_median_split=0.0036,
LOW_mismatch(excess<=median),LOW_mismatch(excess<=median),51,0.8100966849143051,0.672471515804035,0.2685127917629778,-0.03410573137003805,0.03317900288505862,0.2726961064721684,0.0006302014051795532,65.82852706505214,43.53045195974864,0.7233988274865187,0.6666811266782143,-0.17952830340143225,0.48115899017771296,,excess_median_split=0.0036,
HIGH_half1(scan<=250),HIGH_half1(scan<=250),34,0.7768618386550812,0.5885810454036958,0.35860490269372974,0.004654368335670865,-0.015692582939141123,0.35897826750359874,0.002834064906952701,69.52716687915913,50.709838877964714,0.7126303764450552,0.7014390822495689,-0.01188109677854715,0.3918970357952678,,excess_median_split=0.0036,
HIGH_half2(scan>250),HIGH_half2(scan>250),16,0.6292879148734973,0.6589112693594205,0.10940151758038129,0.13597200522944083,0.10195694792588601,0.2021195128763361,0.18003745513998465,54.7318626568567,39.34193582916839,0.813783038411929,0.5222160348308525,-0.25504426940943153,0.5332545383912822,0.5273794887520353,excess_median_split=0.0036,0.9492594548625741
ROBUST HIGH r4>median,ROBUST HIGH r4>median,50,0.8633918625393473,0.5899836149221259,0.39835053342975874,0.014076708617605007,0.02438243780052624,0.3993442180404955,6.966720672225515e-05,74.30824677652963,48.17367441119111,0.46588225556014984,0.8704117265021203,0.1591764754031993,0.4289572144561316,,r4_median_split=0.7118,
ROBUST LOW r4<=median,ROBUST LOW r4<=median,51,0.6789656265864886,0.6788395921152093,0.15136503296660467,-0.0021456298758495665,0.0307994236077462,0.15448165401469152,0.01173656810135009,56.49952976259402,40.86758028702185,0.844652139786218,0.4011787355846863,-0.35442683993912694,0.5617368408178379,,r4_median_split=0.7118,
