cond,obj,real_median,real_mean,boot_median_ci,self_median,selfnoise_median,shuffle_median,ratio_real_self,ratio_real_shuffle,cohens_d_self,cohens_d_shuffle,mw_p_self,perm_p_shuffle,hotelling_T2,hotelling_p,mean_g
raw,p2p,0.06925903956296577,0.07002966244411814,"[0.07008011615897602, 0.0643841306788218, 0.07258315915912349]",1.4001598300822627e-05,0.0001687151541068,0.025032176930913728,5005.151172981348,2.7996013431987974,8.77913336056145,7.270993714600761,6.020777251322387e-35,0.00980392156862745,1710.5950373283529,3.152942249103531e-156,[-0.03995993  0.0001233   0.00058842  0.00038569  0.00020993  0.00100403]
raw,p2l,0.06458381256456218,0.10488348962514048,"[0.06408008603681893, 0.061491895357475325, 0.0683677225754358]",6.120176429021408e-06,0.0001540098620874,0.023791073956853967,10470.300452934014,2.693450751867303,7.688932646494821,6.31688919887722,6.020777251322387e-35,0.00980392156862745,1558.2896248170598,1.4223055783814565e-148,[-0.04005875  0.00082052  0.00116108  0.0199942   0.00902074  0.03276303]
scale,p2p,0.060843626074485124,0.06180447398776695,"[0.061670326379149924, 0.059034065356441415, 0.06290708949765844]",1.4001598300822627e-05,0.0001687151541068,0.025032176930913728,4404.520473603835,2.463642157426171,10.642497404148001,5.999043930176314,6.020777251322387e-35,0.00980392156862745,571.3574748067239,1.0831379477104848e-78,[-0.02399142  0.00047542  0.00056907  0.00014239  0.00034617  0.00110614]
scale,p2l,0.05669589080646175,0.09948774654694939,"[0.05839957021730024, 0.05535952649011654, 0.0610941369118051]",6.120176429021408e-06,0.0001540098620874,0.023791073956853967,9542.138350844585,2.454684068622128,8.624342043753137,5.267753972931662,6.020777251322387e-35,0.00980392156862745,837.6189681611834,2.063877935160212e-102,[-0.0283515   0.00077497  0.00070604  0.02124987  0.00947646  0.0354191 ]
combined,p2p,0.01963357182702215,0.02179568514812159,"[0.01990604794792893, 0.01771433300577793, 0.02310576810275178]",1.4001598300822627e-05,0.0001687151541068,0.025032176930913728,1421.698260459265,0.7952184104030426,3.647322524810855,-0.5486969765372739,6.020777251322387e-35,0.7843137254901961,47.79300580637962,3.952577009129902e-08,"[ 4.02825966e-03  3.79845244e-05 -6.88482022e-05 -1.39965442e-04
 -1.29254458e-04  6.88201880e-05]"
combined,p2l,0.02229608052140314,0.05584262375248273,"[0.022879079994073973, 0.021031738871123036, 0.024872213919383396]",6.120176429021408e-06,0.0001540098620874,0.023791073956853967,3738.3039948951678,0.9616665492094248,4.490924017371764,-0.2435206151317127,6.020777251322387e-35,0.5294117647058824,22.400021262700342,0.001326706893457063,"[-2.92075430e-03  6.65500585e-04  8.34703438e-05  1.59502027e-02
  8.66669801e-03  2.77149682e-02]"
