variant,n_points,signed_mean_mm,signed_median_mm,unsigned_median_mm,patch_profile_std_mm,patch_profile_min_mm,patch_profile_max_mm,patch_worst_best_ratio,lag1_rank_spearman,similar_aspect_spearman,different_aspect_spearman,aspect_pairs
raw,5026085,-38.19338970917931,-28.569795524283283,63.617258821807134,21.439024240930976,28.972272091083525,104.97259999313688,3.6232091036257774,0.928987240246629,0.8329406635279103,-0.09930751148146658,480
N1_range,5026085,-20.088339528610682,-18.010177894713813,63.99400067371244,16.21687304583993,48.91459347383842,95.15633488045592,1.945356755982231,0.9105919465019208,0.8047825944008766,-0.09593656440308918,480
N2_se3,5026085,-20.83907628718106,-15.372699449982235,71.54613031892467,18.12648706123293,53.167574996791195,117.26842791340378,2.2056380777284135,0.9143706817613669,0.8086185544705365,-0.05139025926129255,480
N3_scale,5026085,-23.839488455588036,-17.48361422231476,64.40580530240011,15.09993877012429,42.34018434507239,94.62798151521778,2.2349449578206837,0.9072539175770162,0.7863715163055376,-0.15686430802384752,480
N4_combined,5026085,-0.8743279013778666,3.3792938606369924,34.76335505666498,51.59945564010229,20.850962356340442,186.57059090795886,8.947816782721576,0.9429651742478368,0.8731566850761896,0.16311077607033486,480
