cond,obj,mean_t_x,mean_t_y,mean_t_z,Hotelling_p,tmag_med,tmag_lo,tmag_hi,sign,dirconc,ray_p,selfmed,ratio_self,optcos,lbfgs_conv,lbfgs_onbound
raw,p2p,53.00494589433101,-0.6694905608119365,-0.4494943666952068,7.633893220760634e-182,160.84779562630152,159.97301520666537,161.74491690962424,0.9860279441117764,0.32837402982676644,0.0,0.0,161407891.6359028,0.9998940808100468,0.18811881188118812,0.0
raw,p2l,58.932427488091534,-0.4498522697904902,-0.5195979938631782,1.0133033043318605e-180,159.54538569503737,158.36583743877503,160.72066489192684,0.9800399201596807,0.36530928299965326,0.0,0.0,159946120.27069867,0.9642143261561874,0.0,0.0
scale,p2p,33.18609861240487,-0.3525448815821815,-0.4035533632779337,1.0662555013756489e-98,139.56414331819232,138.68021006537467,140.4574931194612,0.7944111776447106,0.2393949401676711,0.0,0.0,141029880.70041934,0.999945090654615,0.16831683168316833,0.0
scale,p2l,40.65158675408949,-0.2999542641475802,-0.6224937057276729,6.0611150727102536e-111,136.59340824342698,135.53451039167433,137.63893080664147,0.8243512974051896,0.2955270511366669,0.0,0.0,137878294.49721876,0.9441517580020599,0.0,0.0
combined,p2p,-10.29212327779089,-1.16606640978995,2.080918184532509,1.4374142860826565e-21,63.92985986362093,63.29088676987331,64.51641396241965,0.6367265469061876,0.148006242261756,2.5450238778516026e-15,0.0,63034983.41164753,0.9960176602165774,0.25742574257425743,0.0
combined,p2l,-7.998219026537208,-0.37746881452223285,2.171253749528549,3.9074660565631905e-12,58.11183093481011,57.37411088639108,58.77231970683865,0.5948103792415169,0.11731480213792501,8.484450761511047e-10,0.0,57818699.503533766,0.9269493698892858,0.0,0.0
