cond,obj,endpoint,partialR2,ci_lo,ci_hi,perm_p,null_mean
raw,p2p,proj,0.9026417762039319,0.8869563284367096,0.9202204358160602,0.000999000999000999,0.3137823057430506
raw,p2p,tmag,0.8879613877014108,0.8698708456654441,0.906191759900051,0.000999000999000999,0.2980938938039208
raw,p2p,rmag,0.2261474953994416,0.1702281237905658,0.3013958414158749,0.000999000999000999,0.05298493916426327
raw,p2l,proj,0.8766972835697754,0.8511743787921572,0.9057568017849853,0.000999000999000999,0.2897066020429922
raw,p2l,tmag,0.8456632753538489,0.8103016755048237,0.8788404184555627,0.000999000999000999,0.28235105316123277
raw,p2l,rmag,0.13721521705078638,0.09209741966881728,0.22446428595950327,0.000999000999000999,0.02528839583583503
scale,p2p,proj,0.6669710711866768,0.49971157528411797,0.9022359881152767,0.000999000999000999,0.2949606988432479
scale,p2p,tmag,0.6634816898618857,0.5306224607166978,0.8354095722286856,0.000999000999000999,0.23420149197650159
scale,p2p,rmag,0.21678153056051497,0.16197890913428975,0.32724869891439595,0.000999000999000999,0.07158252291693021
scale,p2l,proj,0.8369743289402395,0.7734305590332429,0.8987182032383139,0.000999000999000999,0.31151232714624344
scale,p2l,tmag,0.7532646509852918,0.7128509405408191,0.8066816025251768,0.000999000999000999,0.22269500435598114
scale,p2l,rmag,0.15731120227388426,0.10051882670127914,0.24368214033576924,0.000999000999000999,0.01930192510180939
combined,p2p,proj,0.4467007533378026,0.34998983210075957,0.6525855531766596,0.000999000999000999,0.12330409406781405
combined,p2p,tmag,0.3810413343211776,0.3182558448491025,0.46025610486638,0.000999000999000999,0.19368721459610316
combined,p2p,rmag,0.13108260671474903,0.09741093095874853,0.27317645470302554,0.000999000999000999,0.02511399778568082
combined,p2l,proj,0.4815298338084967,0.34660613502668747,0.6225879919978863,0.000999000999000999,0.12547634504866295
combined,p2l,tmag,0.2853213449207264,0.225248630444611,0.3689580849517882,0.000999000999000999,0.09366262308569859
combined,p2l,rmag,0.29566303634786734,0.1987360278517817,0.4490834798272921,0.000999000999000999,0.02725300786161919
