dataset,order,scan,block_full,in_support,condition,kind,n_points,gt_norm,gr_norm,residual_rms_mm,trans_error_mm,rot_error_deg,patch_spread_mm
IV,3,3,0,False,N2,p2p,9509,0.016864401210529914,0.013262263748724969,53.57386759528319,86.865963027892,3.229033790657418,52.08445100729996
IV,3,3,0,False,N2,p2l,9509,0.014231307265106491,0.012774919494883583,49.866653419445065,82.72367246761887,3.862401985254454,52.08445100729996
IV,3,3,0,False,N3,p2p,9509,0.033153514040810655,0.017836761658436444,61.97430931746119,95.56356881357021,1.6872146272510733,52.164681787006856
IV,3,3,0,False,N3,p2l,9509,0.031127944759202986,0.015875423429175726,58.6674042336761,92.2580283609176,1.7172044697654045,52.164681787006856
IV,4,4,0,False,raw,p2p,9454,0.05746215985256786,0.016811206528015182,65.6309816984417,102.46318703567778,1.283537849932975,40.91107936689086
IV,4,4,0,False,raw,p2l,9454,0.0527727940742124,0.011990355128472031,62.51559789619879,101.2337622468302,1.109690246917809,40.91107936689086
IV,4,4,0,False,N1,p2p,9454,0.019976286917632785,0.014724013823529511,53.55678692318797,88.29005872912683,1.24417552058622,46.120801510417024
IV,4,4,0,False,N1,p2l,9454,0.012899741007519559,0.008990411801470902,49.3952866452294,88.05913683582996,1.056179962088039,46.120801510417024
IV,4,4,0,False,N2,p2p,9454,0.016640802448573647,0.013244618619745383,53.09905666893595,90.79487414925333,3.212835907059507,48.56926491293357
IV,4,4,0,False,N2,p2l,9454,0.012234235596444506,0.010351816641656823,49.115782752185986,91.00663854899183,3.500789869277494,48.56926491293357
IV,4,4,0,False,N3,p2p,9454,0.03220803510957228,0.01765968839752066,61.20944042896352,97.33346997510007,1.4098794733669415,50.55784995536577
IV,4,4,0,False,N3,p2l,9454,0.028527759888255892,0.011943252551884416,57.70953450145129,96.62817585991843,1.611291552485412,50.55784995536577
IV,5,5,0,False,raw,p2p,9463,0.05645968584081028,0.01623038961730716,65.82241589387597,102.65654164511754,1.348864633138847,38.997219393895456
