order,scan,dbs_mhat_m,raw_ete_mm,dbs_ete_mm,dbs_ete_sens_globalmed_mm,raw_eR_deg,dbs_eR_deg,dir_cos_vhat_realized,improved_primary,in_support,block_full,block_primary
0,0,0.15227282709538423,95.99954471591228,68.56835456880091,76.84576661170551,2.0936156585348384,2.0936156585348384,0.9474988329291596,True,False,0,-1
1,1,0.15292261912453825,98.42020889491306,65.05876831066728,72.79842777701711,2.0111238394018476,2.0111238394018476,0.9580706340604228,True,False,0,-1
2,2,0.1528557142829714,100.92541261307326,60.924962508208694,68.77513348693829,2.363968757235463,2.363968757235463,0.9671001130469112,True,False,0,-1
3,3,0.15390546200177013,103.43658297443832,60.00695437059673,66.82638305665722,2.208967320236248,2.208967320236248,0.9669044318236775,True,False,0,-1
4,4,0.1539615550620965,114.55928253657531,52.55600973613312,58.846318571997905,2.1733531951142715,2.1733531951142715,0.9657100034276999,True,False,0,-1
5,5,0.15371095956150557,122.09194798541746,37.663216455217366,44.55859309550263,2.0255932359548705,2.0255932359548705,0.9888432122670752,True,False,0,-1
6,6,0.1540732914273163,120.54595131838991,36.83481056421497,43.7435421832882,1.7159560530525804,1.7159560530525804,0.9937349420236543,True,False,0,-1
7,7,0.15407410543518796,117.28662637024482,41.90592905120821,48.66874433332269,1.4921662756581848,1.4921662756581848,0.9888552925273372,True,False,0,-1
8,8,0.15337612333003767,113.82475768546067,41.58969377173128,49.37821121880826,1.6416710699872845,1.6416710699872845,0.9952631428861871,True,False,0,-1
9,9,0.15377631688499013,112.47938224994843,43.316621196955026,50.72842322599456,2.0635590381319826,2.0635590381319826,0.995059947671821,True,False,0,-1
10,10,0.15371396763956122,106.04362609930821,50.11891967520208,57.59020394883757,1.9735489071152812,1.9735489071152812,0.9926552463437258,True,False,0,-1
11,11,0.1543985572253447,108.94247805636788,49.29835463559273,55.97517581066243,2.0421062817126576,2.0421062817126576,0.989177750165406,True,False,0,-1
12,12,0.1552530265905683,129.55552025904993,37.20865182442912,42.04048830571749,6.646681966282603,6.646681966282603,0.9819994526122382,True,False,0,-1
13,13,0.15581735255123597,119.9743575973556,36.10609621998462,41.669495099270364,3.90612106067359,3.90612106067359,0.9994936929198286,True,False,0,-1
14,14,0.15633636766352998,112.80971309156455,47.66331467908207,52.45228190867039,2.0491715858517288,2.0491715858517288,0.989305502094947,True,False,0,-1
15,15,0.15603233351122722,108.46612624586936,50.89934255879176,56.05654726408823,1.8483019927285194,1.8483019927285194,0.990303867909496,True,False,0,-1
16,16,0.15554577036502248,109.36130875964567,49.83046192147697,55.42662255628263,2.1907817410330246,2.1907817410330246,0.989710280367385,True,False,0,-1
17,17,0.1555615147808595,108.11255800511614,49.155184433281164,54.87636925679846,2.4292315695792577,2.4292315695792577,0.9950996802466875,True,False,0,-1
18,18,0.15491183309246348,108.2822085704411,48.46041078941956,54.80627688814548,2.5105407048034145,2.5105407048034145,0.9948107934107796,True,False,0,-1
19,19,0.1553783646228423,107.26215443888772,51.14479137260305,56.95653213177894,2.8396855927562066,2.8396855927562066,0.99098115722752,True,False,0,-1
20,20,0.15453760454131002,114.63977429440101,43.23881724180668,49.77312107283786,2.879716257093926,2.879716257093926,0.9921608712290905,True,False,0,-1
21,21,0.15523125345045316,119.51685358289284,38.22108282070141,44.13123904823476,3.0762897649632746,3.0762897649632746,0.9950052470874655,True,False,0,-1
22,22,0.15268308351233884,117.45896447390079,37.699096464922626,46.068480706066985,3.1525636253378053,3.1525636253378053,0.99496812357489,True,False,0,-1
23,23,0.15221915451023754,116.92176463526225,38.124469912551454,46.89472186659536,3.425820077841311,3.425820077841311,0.9941686538402654,True,False,0,-1
24,24,0.15129466296458857,155.46592294707025,39.610355027370154,41.11693787498617,9.564462646249341,9.564462646249341,0.9670173468414792,True,False,0,-1
25,25,0.14874395953004552,189.40522367533208,80.1649887753113,77.22249754443526,11.550522557873434,11.550522557873434,0.9152893398212846,True,False,0,-1
26,26,0.14873913942413944,134.6010803894136,52.20751747635811,58.81728869930567,6.796135360853497,6.796135360853497,0.9369209905057881,True,False,0,-1
27,27,0.14723106445036324,149.1996132077667,42.47819295623654,46.075322598233676,8.294416185007275,8.294416185007275,0.959017239014245,True,False,0,-1
28,28,0.14717084514768028,166.8224301169051,55.570859074255985,54.70496567029392,11.94734080647782,11.94734080647782,0.9449738955158853,True,False,0,-1
