order,scan,cos_translation_p2p,cos_rotation_p2p,cos_translation_p2l,cos_rotation_p2l,pred_et_mm_p2p,real_et_mm_p2p,pred_eR_deg_p2p,real_eR_deg_p2p,in_support,block_full,block_primary
0,0,0.874944505938984,0.37501030491570597,0.917623431979907,0.2362115245405306,25.827801577734245,95.99954471591228,0.5135371524517226,2.0936156585348384,False,0,-1
1,1,0.8868775126939024,0.44376422480566347,0.9222305188833818,0.39459645149674066,25.25060767279778,98.42020889491306,0.4613532351551852,2.0111238394018476,False,0,-1
2,2,0.9005248751064586,0.6548018231740399,0.924207351149084,0.5210612514885168,24.37456260626664,100.92541261307326,0.46263911213184633,2.363968757235463,False,0,-1
3,3,0.8989897929622015,0.6387432273592935,0.9229448776775863,0.15218062976226462,24.08344473170234,103.43658297443832,0.4487260273928567,2.208967320236248,False,0,-1
4,4,0.8914607618922504,0.7877142292014698,0.9534240029391601,0.12974858294664227,24.23978622479507,114.55928253657531,0.4275439439762081,2.1733531951142715,False,0,-1
5,5,0.9242919864262527,0.887298663380882,0.9557970571757803,0.48797243315632605,24.32189092434754,122.09194798541746,0.39989330946462687,2.0255932359548705,False,0,-1
6,6,0.9279522008356174,0.8225778572572476,0.9441675686896797,-0.09333979535367394,24.509371090017993,120.54595131838991,0.4060217006124468,1.7159560530525804,False,0,-1
7,7,0.9095843930472101,0.4308189789995158,0.9180827170231699,-0.254740600392269,23.891387978293253,117.28662637024482,0.35809489614862094,1.4921662756581848,False,0,-1
8,8,0.906459691215868,0.5454617405118866,0.9676591083192835,0.02456454392751015,23.729586993280837,113.82475768546067,0.3471438389460416,1.6416710699872845,False,0,-1
9,9,0.8678376211611948,0.4507781260445054,0.9624254386983926,0.017079803307830158,24.39371828747337,112.47938224994843,0.31360704962415753,2.0635590381319826,False,0,-1
10,10,0.8323635067963755,0.4372085979760073,0.9954807820819281,0.24899384656848672,24.289769615716743,106.04362609930821,0.2635064972676589,1.9735489071152812,False,0,-1
11,11,0.7958126337001316,0.7537383949089183,0.9987977527927827,0.46271287963358815,24.80917877161206,108.94247805636788,0.22544828777623424,2.0421062817126576,False,0,-1
