panel,patch_id,block,center_median_mm,n_stat_units,center_statistic,shaded_band,statistical_unit,bin_edge_lo_m,bin_edge_hi_m,range_center_m,band_q25_mm,band_q75_mm,bin_index
2B,2,2.0,50.9400032460689,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,3,2.0,27.4855103343725,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,4,2.0,57.4305653572082,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,5,2.0,52.8212301433086,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,6,2.0,101.9419245421886,62,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,7,2.0,47.2137331962585,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,8,2.0,80.213688313961,77,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,9,2.0,107.20035061240195,58,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,10,2.0,61.470553278923,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,11,2.0,80.863632261753,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,12,2.0,98.01987931132315,54,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,13,2.0,94.5982336997985,61,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,14,2.0,97.2510911524295,62,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,15,2.0,53.5422693938016,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,16,2.0,47.758936882019,73,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,17,2.0,58.8614847511053,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,18,2.0,85.3857863694429,66,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,19,2.0,95.697509124875,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,20,2.0,46.118825674057,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,21,2.0,66.7668730020523,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,22,2.0,57.0754893124103,78,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,23,2.0,79.8932611942291,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,0,3.0,51.744643598794895,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,1,3.0,58.178542181849394,92,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,2,3.0,48.504958860576096,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,3,3.0,29.73102591931815,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,4,3.0,70.78450173139565,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,5,3.0,47.47259896248575,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,6,3.0,110.31289026141164,74,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,7,3.0,62.63814307749265,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,8,3.0,87.75937557220455,92,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,9,3.0,96.83875180780885,72,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,10,3.0,56.48203101009125,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,11,3.0,76.70709863305089,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,12,3.0,112.0657920837402,65,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,13,3.0,101.0220609605312,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,14,3.0,104.0952447801828,82,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,15,3.0,41.2863483652472,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,16,3.0,54.217766970396,90,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,17,3.0,67.80061684548849,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,18,3.0,97.4709913134574,85,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,19,3.0,103.13277132809155,84,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,20,3.0,57.81063158065075,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,21,3.0,62.2214395552873,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,22,3.0,61.419319361448196,91,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,23,3.0,73.55182431638235,96,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,0,4.0,56.214792653918195,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,1,4.0,63.2887147367,99,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,2,4.0,47.6143658161163,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,3,4.0,31.780593097209902,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,4,4.0,63.350528478622394,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,5,4.0,38.082018494606,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
