trajectory,block,n,raw_et_med,raw_eR_med,raw_gt_med,raw_gr_med,patch_et_med,patch_eR_med,patch_gt_med,patch_gr_med,shuf_et_med,shuf_eR_med,shuf_gt_med,shuf_gr_med,shuf_ens_et_med,shuf_ens_et_lo,shuf_ens_et_hi,d_et_patch_raw,d_et_shuf_raw,d_et_patch_shuf,d_eR_patch_raw,d_eR_shuf_raw,d_gt_patch_raw,d_gt_shuf_raw
II,0,50,89.72698451737185,1.9297996857706083,0.05311584254277775,0.0063483728363098995,38.65335537036603,1.1023224674143024,0.021775396665864,0.0036730869449995,72.38343014279904,3.0891037819889187,0.0399051102645383,0.00615145383230465,71.20211809636395,63.215608306285766,92.13710437332456,47.0145913103821,15.405168301254271,32.49802534149444,0.5907648293352283,-1.4243588609941744,0.02988018921365885,0.01269487258548065
II,1,50,57.15757534817586,1.2900040477287007,0.0446654259385321,0.004677789187088751,40.20806056767968,1.1925905881235481,0.026875449137161098,0.004585498493409151,52.270006346740075,1.9195219048382446,0.030485255932050898,0.0050342522041837996,61.07750808510896,41.82815057781362,70.46454433491603,10.767472154032486,5.236196263710468,6.2461106780083,0.02460434749566895,-0.7948122879648089,0.017896752383379948,0.0124645509259371
II,2,50,93.80070846383565,1.9266777357968496,0.0658620037668689,0.0046854283029188,76.27406296780603,1.8071102970220498,0.03661918019296425,0.0026342268049171997,83.5902974602847,2.2780214134747845,0.05216257350225175,0.0052580067430061505,92.5504909679621,87.96312058522028,111.42219090979738,18.099165504740768,6.353504481983656,11.154464403310357,0.05533608555868235,-0.3781035271635149,0.0321189036585229,0.01330537604945905
II,3,50,74.84078412222338,1.5626192881965615,0.05998569999644345,0.00835976649731005,46.54409533290669,1.3767578879765419,0.0280758224492219,0.00375350229086175,73.70326530360737,1.5659492814505631,0.047314424006733496,0.0046870850205776,75.5954786251394,72.42274607488406,78.80429214948069,28.549276531138837,0.5704745746756998,29.13789348521837,0.30456306540809897,-0.05813518862139715,0.03317776647744185,0.012801333443662799
II,4,50,64.14790162922029,2.038308776204911,0.0492776293898001,0.009398071231121,32.41111376676234,0.40599010304462724,0.016023073140915597,0.0027162801797883497,66.03283301645547,1.9109535660472492,0.03712608456122695,0.0036236592146949497,63.1237519817786,43.076470954965714,77.60065527385832,32.11944601534316,-1.8308047719527387,33.554016055325974,1.6440534465466037,0.16653248609905558,0.0336256015128918,0.0129672896263692
II,5,50,61.648560388482906,1.3711068243762852,0.05039360951495255,0.0083470727859814,35.311931385330496,0.936949549834607,0.02094352194003355,0.0032280658651792,61.31708969847392,1.4275587537476186,0.03651710170157315,0.003670378456522,57.45206799132687,41.239042013964436,72.13449276849823,20.31440091288605,0.0,23.38329968302822,0.20579929932539454,-0.0262387453671091,0.023013631285933152,0.011286703641960352
II,6,50,94.98086405875941,1.0656116976508612,0.0583393943101737,0.011226404998192,88.89010703610367,0.6491342687556886,0.03428723970216885,0.014061589561321149,96.12061870568633,1.8472284810820856,0.040737445250311546,0.01624150059514005,95.28432693167952,80.1845193890781,108.39648298903347,1.701892778798019,1.8240011463931545,8.526512829121205e-14,0.0,-0.5241684588324714,0.017160289873168602,0.015181969663801951
II,7,50,53.722764037283355,2.7316205196765835,0.03170452856583305,0.0111415814080729,41.217285478730474,1.8988715763341537,0.02259657868550425,0.00929363378127325,31.820549849245978,3.6502470697042124,0.0207849717523561,0.0136761730287223,53.52427032482479,43.63096645394275,56.29753693253431,9.91614028428932,19.111162598194248,-9.261034183629482,0.8667076781149394,-0.8861674017182333,0.01048902942676755,0.01161684085743385
II,8,28,55.66782266632798,1.5561611549641716,0.0344153524059556,0.00616004086747935,47.65376273732501,1.6990402499921906,0.0215723574522709,0.0046622760662282,41.74754033631312,2.821444263622195,0.024495856472838598,0.0070597544169949,53.783483344243436,36.183419227633095,80.16601163527044,9.74756874165211,14.369675258516168,-5.205487966253703,0.006510274362855551,-1.2539227516321065,0.0138093114357258,0.0110259868403924
III,0,50,79.17141388770943,1.4670188203907504,0.055156782912386196,0.0065767376232155,59.872028014755415,1.9674616432766654,0.01858137005528295,0.0038954712964138502,70.7160419719066,3.6248546301530347,0.03914051112489195,0.0047415305053468,78.30923107647611,64.8350666620909,86.39630621630894,23.139861549020765,10.773637475292652,11.463909974036696,-0.41371342738047967,-2.0242652485208716,0.033293606841588747,0.0144204316599426
