trajectory,order,level,in_support,posthoc,et_mm,eR_deg,iters,on_bound
VI,0,A1_patch,True,0,106.61129452244053,5.764873846447402,32,0
VI,0,A2_allhist_scanw,True,0,136.68008135451663,5.906700459889418,30,0
VI,0,B1_view_pointw,True,0,66.53190517967336,3.95686863774742,32,0
VI,0,B2_full,True,0,66.91086381228725,3.959045372299236,34,0
VI,1,A1_patch,True,0,108.88781266907915,5.104143735386898,36,0
VI,1,A2_allhist_scanw,True,0,142.11579373756933,6.081435438235268,33,0
VI,1,B1_view_pointw,True,0,68.61576023832433,3.336726789285857,33,0
VI,1,B2_full,True,0,69.14918707300393,3.2865809173997946,26,0
VI,2,A1_patch,True,0,112.42273323651258,6.387281172993511,40,0
VI,2,A2_allhist_scanw,True,0,149.36190375757607,8.883752013855418,40,0
VI,2,B1_view_pointw,True,0,74.19671796715087,4.873002359846522,40,0
VI,2,B2_full,True,0,74.27971220243914,4.800295418974269,40,0
VI,3,A1_patch,True,0,116.88414374121585,4.4508227784987655,29,0
VI,3,A2_allhist_scanw,True,0,154.9961476920026,8.082984105682392,40,0
VI,3,B1_view_pointw,True,0,79.19234996467415,3.0102707461528704,40,0
VI,3,B2_full,True,0,78.91559633838777,2.932166065760782,40,0
VI,4,A1_patch,True,0,111.10199439994919,5.052951589049166,31,0
VI,4,A2_allhist_scanw,True,0,139.2569866358938,5.028647021920765,28,0
VI,4,B1_view_pointw,True,0,75.82892146895436,3.6074689335438506,29,0
VI,4,B2_full,True,0,75.16956208013794,3.452329415015847,29,0
VI,5,A1_patch,True,0,111.56584067977315,5.993242296533156,37,0
VI,5,A2_allhist_scanw,True,0,137.47357576808147,5.7136270195166725,36,0
VI,5,B1_view_pointw,True,0,71.94040508625034,3.3459680317866107,29,0
VI,5,B2_full,True,0,71.4515447537257,3.191741725197853,36,0
VI,6,A1_patch,True,0,117.58284244097284,6.917776635006355,40,0
VI,6,A2_allhist_scanw,True,0,141.89194736096684,6.823935509872068,40,0
VI,6,B1_view_pointw,True,0,75.58600836012852,4.079097581018443,40,0
VI,6,B2_full,True,0,74.9294274368768,3.890521552924663,40,0
VI,7,A1_patch,True,0,116.3236409284911,5.932500773140361,40,0
VI,7,A2_allhist_scanw,True,0,140.03917402771893,5.637291942397874,40,0
VI,7,B1_view_pointw,True,0,75.61086963256206,3.8304817592790297,34,0
VI,7,B2_full,True,0,75.19252017456682,3.775284988485355,38,0
VI,8,A1_patch,True,0,114.86677845159817,6.279582331728293,40,0
VI,8,A2_allhist_scanw,True,0,136.73181759703013,5.656886648628015,40,0
VI,8,B1_view_pointw,True,0,71.69968197858617,4.592018948492774,40,0
VI,8,B2_full,True,0,70.79719364122876,4.3852753642057065,40,0
VI,9,A1_patch,True,0,124.01804107555135,6.490173052181121,40,0
VI,9,A2_allhist_scanw,True,0,142.73356444145344,6.588097048856957,40,0
VI,9,B1_view_pointw,True,0,80.77469111721692,5.433247650910631,40,0
