trajectory,n,A1_patch_et_med,A2_allhist_scanw_et_med,B1_view_pointw_et_med,B2_full_et_med,A1_patch_eR_med,A2_allhist_scanw_eR_med,B1_view_pointw_eR_med,B2_full_eR_med,view_effect_pointw_B1minusA1,view_effect_scanw_B2minusA2,weight_effect_allhist_A2minusA1,weight_effect_view_B2minusB1,full_minus_patch_B2minusA1
II,428,41.77723740078632,53.197461133631464,68.8762065306418,68.8585295049208,1.2694027224561912,1.9483555448680483,2.226124245236344,2.2479043673156216,22.672756779927933,13.155404580148161,4.998974755979884,0.21635275068605253,24.553776852594645
III,371,41.29782690845897,49.06727444707412,51.15456042480737,51.23756950157603,2.1160235589767638,1.7957875570508606,2.628101743166956,2.641464510948353,17.63134331559158,5.062916650155536,9.977199500837216,0.024689916681602142,20.0237876526714
IV,156,126.26002467918383,142.15876012434035,83.0900708069234,82.89797130448864,4.0003627437297276,4.17424297400237,2.4239034890980364,2.4644492346945155,-38.90865173451267,-54.04354360180165,14.728241642751264,-0.2786956842717814,-38.89690635998631
VI,501,116.81527871617058,138.93818678710505,75.61086963256206,76.85698936670394,4.66731556808484,4.674055060271486,2.9034333704854687,2.880859773738778,-40.79327865056335,-62.201593956677584,22.088122751473634,0.1783455660312967,-39.738625596075224
