table,trajectory,method,block,n_frames,median_translation_mm,median_rotation_deg,axis,block_benefit
marginal,III,Patch+Trim,7,21,42.55094415510956,1.89539707028947,both,
marginal,III,Raw LS,0,50,79.17141388770943,1.4670188203907504,both,
marginal,III,Raw LS,1,50,90.61309406629223,1.802275409454904,both,
marginal,III,Raw LS,2,50,85.00276269533241,3.362244593134884,both,
marginal,III,Raw LS,3,50,64.78443774217322,1.7883641404433934,both,
marginal,III,Raw LS,4,50,49.89795950288007,1.5481026423232604,both,
marginal,III,Raw LS,5,50,51.70794146670495,1.1429974714664208,both,
marginal,III,Raw LS,6,50,58.082790747938404,1.5129027300766296,both,
marginal,III,Raw LS,7,21,100.60352184974192,3.257714721231708,both,
marginal,III,Trim Raw,0,50,63.50134018405872,1.2601060007408806,both,
marginal,III,Trim Raw,1,50,58.9572963078665,1.3562076384120236,both,
marginal,III,Trim Raw,2,50,55.712008038097395,1.2430983854633462,both,
marginal,III,Trim Raw,3,50,58.20674807638904,1.0819727490700792,both,
marginal,III,Trim Raw,4,50,49.97038997067267,1.170601626981938,both,
marginal,III,Trim Raw,5,50,46.97713069335603,1.050274958619803,both,
marginal,III,Trim Raw,6,50,34.69287767031089,0.9893522907412546,both,
marginal,III,Trim Raw,7,21,32.78887892885919,0.9728154440218558,both,
marginal,IV,Huber Raw,0,50,139.64441262932112,3.5641504325391153,both,
marginal,IV,Huber Raw,1,50,133.12093145034362,3.4932467041606268,both,
marginal,IV,Huber Raw,2,50,129.734252458625,3.290552708799721,both,
marginal,IV,Huber Raw,3,6,119.80243714004726,2.974492155772853,both,
marginal,IV,Patch LS,0,50,120.49021037123283,4.464348027248754,both,
marginal,IV,Patch LS,1,50,120.5265036175322,4.016040565444146,both,
marginal,IV,Patch LS,2,50,142.29249559345453,3.6353855553197207,both,
marginal,IV,Patch LS,3,6,146.52729836328137,3.7744131156655274,both,
marginal,IV,Patch+Huber,0,50,102.06394733394637,3.9712465984300067,both,
marginal,IV,Patch+Huber,1,50,99.45259681768468,3.709552639973742,both,
marginal,IV,Patch+Huber,2,50,105.26915301118729,3.0884311256079817,both,
marginal,IV,Patch+Huber,3,6,112.6817952740907,3.430218508819697,both,
marginal,IV,Patch+Trim,0,50,93.27216077622936,4.073511790685178,both,
marginal,IV,Patch+Trim,1,50,88.7654597707016,3.6519283710405954,both,
marginal,IV,Patch+Trim,2,50,80.82788043431313,2.848060910562575,both,
marginal,IV,Patch+Trim,3,6,95.23467865336346,3.208700916630921,both,
marginal,IV,Raw LS,0,50,158.48159106545035,4.164412815344692,both,
marginal,IV,Raw LS,1,50,157.5282097360639,3.883711342382385,both,
marginal,IV,Raw LS,2,50,167.34531348982387,3.902590187239403,both,
marginal,IV,Raw LS,3,6,164.4280207452125,3.9195880366896585,both,
marginal,IV,Trim Raw,0,50,132.8604392388392,3.279416771586676,both,
marginal,IV,Trim Raw,1,50,125.93000903879434,3.3402896743943784,both,
marginal,IV,Trim Raw,2,50,118.30105148785981,3.065163684799024,both,
marginal,IV,Trim Raw,3,6,109.34036048625836,2.466550076746662,both,
marginal,VI,Huber Raw,0,70,132.82968525230854,4.472297097069026,both,
marginal,VI,Huber Raw,1,70,133.53328459729948,4.420476659502134,both,
marginal,VI,Huber Raw,2,79,148.22968668594535,4.201380244015467,both,
marginal,VI,Huber Raw,3,96,154.27598076537305,3.714676261003903,both,
marginal,VI,Huber Raw,4,103,152.8180538043268,3.345247713528155,both,
marginal,VI,Huber Raw,5,83,153.47516867669228,3.9528756727112175,both,
marginal,VI,Patch LS,0,70,111.17278296418343,5.596231448258425,both,
marginal,VI,Patch LS,1,70,110.49228072619013,5.614928935173253,both,
marginal,VI,Patch LS,2,79,123.63434041915492,5.025115371335013,both,
marginal,VI,Patch LS,3,96,122.54133485006295,4.153367118075278,both,
marginal,VI,Patch LS,4,103,117.66796238468564,3.741547084778768,both,
marginal,VI,Patch LS,5,83,113.90884206317152,4.860549739363893,both,
marginal,VI,Patch+Huber,0,70,90.2835463269892,5.026537130414687,both,
marginal,VI,Patch+Huber,1,70,90.77174179225311,5.0997730440149445,both,
marginal,VI,Patch+Huber,2,79,103.84078716177292,4.655044696067238,both,
marginal,VI,Patch+Huber,3,96,104.74726928041608,3.7739868077965735,both,
marginal,VI,Patch+Huber,4,103,104.51210768195055,3.535582709582838,both,
