geometry,dtype,family,mag,res_RMS_mm,rms_q25,rms_q75,translation_bias_mm,tb_q25,tb_q75,rotation_bias_deg,grad_total,n_rep,alpha,eta_t,eta_R,gt_norm,gr_norm,pjw_mm,pjw_t_mm,pjw_r_mm,re_rms_mm,re_et_mm,re_eR_deg,organization
GA,CTRL_random_noise,CTRL,2.0,4.784814750916917,4.780511330202207,4.78906393674999,0.0247878623739246,0.0174645777402813,0.0319312792683142,0.00230066279637515,4.547196406059952e-05,20,0.0,0.005336093098656998,0.004733461629038673,4.7342993185503696e-05,3.5086413206620134e-05,0.034170271537763725,0.026502034898325096,0.028393530623955124,4.787039446499666,0.023516534979857687,0.002036903540788155,unstructured_noise
GA,CTRL_random_noise,CTRL,5.0,7.488966879919857,7.466872341748602,7.497110012610429,0.074336600528717,0.0497934501997139,0.08316596279992085,0.00394415655581015,9.48589388558336e-05,20,0.0,0.007251998373653002,0.004975794579485566,0.0001011989504949507,5.275616356196983e-05,0.05558001870952745,0.050022299658045,0.03898375852892019,7.483737362046933,0.07807567346073899,0.004085742294237032,unstructured_noise
GA,CTRL_random_noise,CTRL,10.0,11.515553746877504,11.505110006354915,11.546295437951134,0.1717146521013212,0.1251071331372982,0.24869914418679112,0.005145899903575,0.00018808937582565001,20,0.0,0.00992921034283029,0.005156406460983471,0.00020327720439359146,7.086388792551267e-05,0.112681590754368,0.09978790469527339,0.05669036305461307,11.51722402777904,0.23357479873201875,0.007550459950253859,unstructured_noise
GA,CTRL_random_noise,CTRL,25.0,25.568860453891403,25.51966076674511,25.636132995623687,1.5660600596979801,1.2777930316163522,1.8304452859950433,0.03146734655005645,0.00077868318103385,20,0.0,0.020601933822233617,0.00656015016266748,0.0008739496242000934,0.0001484790334648179,0.4446074887651992,0.43916632392478994,0.08743766123955454,25.557275532350843,1.6049692638713213,0.028157260749103748,unstructured_noise
GA,CTRL_random_noise,CTRL,50.0,50.14712689895111,50.011921080291216,50.34296472870183,6.132957732117472,5.162029409829194,6.723215719434253,0.06316820575940245,0.0026089516001424,20,0.0,0.03544635925863106,0.005217815486715087,0.002875200914841742,0.00021981553684434529,1.4446470210998998,1.4339349217042707,0.13154666194502734,50.10052990755334,6.2717206830566194,0.05735528177453551,unstructured_noise
GA,CTRL_random_noise,CTRL,100.0,100.29027759642067,100.07210189315788,100.66390646557849,22.55151272376019,16.267094433200356,23.592671334884923,0.14129324573925983,0.0098449109796308,20,0.0,0.06201990179366125,0.006034633595804369,0.009956877864022983,0.0005100737106900578,4.988842218679351,4.979423986856416,0.3692422297507845,100.20429148281868,22.900539913775773,0.13906204116478765,unstructured_noise
GA,D1_appendage_disp,D1,0.0,3.4582907360487454,3.4533004090755877,3.4654491599875663,0.0196690090043641,0.0152620170621257,0.023946219921879525,0.0012071360778178,3.262381907964629e-05,20,0.0,0.006304025814435918,0.004983678908255556,4.011258214371274e-05,2.698644771784613e-05,0.024927536019936938,0.020865830851543633,0.01601797363410552,3.4575682580955536,0.020702226315222706,0.0009095644948921549,coherent_extensive
GA,D1_appendage_disp,D1,2.0,3.7532989971191384,3.743978107852446,3.8054200552624082,1.0762385216507087,1.0708825301736662,1.2650200317965852,0.00597523070855615,0.002069812020604,20,0.3551669316375199,0.3041188495174571,0.0068414097290169125,0.002099714289204459,3.7234264865645614e-05,1.057114530305661,1.063820697210991,0.12860850803846724,3.7537477200183647,1.0768110866518157,0.005886636152096891,coherent_extensive
GA,D1_appendage_disp,D1,5.0,5.003310911558172,4.994150564385144,5.220844036733183,2.7706031610308224,2.754079799171202,3.2366621028234626,0.01381829954052945,0.0051290710488182,20,0.3551669316375199,0.568109768067237,0.006766897199848566,0.005169053963642306,4.293833364926891e-05,2.602700106140045,2.6195648826848066,0.2993100772496823,5.002108148055056,2.7618926659557994,0.013838728428154664,coherent_extensive
GA,D1_appendage_disp,D1,10.0,7.946134527519176,7.939044742622398,8.516245855889515,8.928474981074032,8.338014283938014,8.94866907599506,0.0152613547820683,0.010187724894873101,20,0.3551669316375199,0.7359627401776243,0.004468924081949471,0.01012728650819734,3.753214337252344e-05,5.094449052598623,5.127758093815924,0.542561777258073,7.946566084582498,8.930721819238506,0.015744265911034075,coherent_extensive
GA,D1_appendage_disp,D1,25.0,18.189282629045785,18.179026690764005,19.747030939742857,18.66100615125641,18.585840484006436,19.333702146021842,0.0111832287565775,0.0255116180271415,20,0.3551669316375199,0.8849093966833719,0.001603061283806279,0.025481657161785524,2.690439498593379e-05,12.824121033463925,12.908526627336855,1.414322700289918,18.190618988629225,18.59446757776516,0.012199392734509026,coherent_extensive
GA,D1_appendage_disp,D1,50.0,35.89463558077538,35.87886538954726,39.0873182562853,39.16299536763985,39.15678783342871,39.37327492937153,0.008051180126289949,0.051043674673671394,20,0.3551669316375199,0.9394818447883067,0.0012707117375715237,0.050994867091114136,3.9262780742651917e-05,25.665183304805453,25.834829407275436,2.8474042306497984,35.89103895784122,39.15045530240029,0.007809806435277494,coherent_extensive
