geometry,dtypeA,familyA,orgA,magA,dtypeB,familyB,orgB,magB,rmsA,rmsB,rms_diff,reldiff,gradA,gradB,grad_diff,gtA,gtB,d_gt,pjwA,pjwB,d_pjw,eta_tA,eta_tB,alphaA,alphaB,etA,etB,eRA,eRB,bias_diff,bias_ratio,rot_bias_diff,threshold
GA,CTRL_random_noise,CTRL,unstructured_noise,2.0,D1_appendage_disp,D1,coherent_extensive,5.0,4.784814750916917,5.003310911558172,0.218496160641255,0.043670314418499556,4.547196406059952e-05,0.0051290710488182,0.0050835990847576005,4.7342993185503696e-05,0.005169053963642306,0.005121710970456802,0.034170271537763725,2.602700106140045,2.5685298346022813,0.005336093098656998,0.568109768067237,0.0,0.3551669316375199,0.0247878623739246,2.7706031610308224,0.00230066279637515,0.01381829954052945,2.7458152986568978,111.77257317457664,0.0115176367441543,primary_5pct
GA,CTRL_random_noise,CTRL,unstructured_noise,5.0,D3_local_surface_off,D3,localized_gross_small,50.0,7.488966879919857,7.699460031403682,0.2104931514838242,0.027338690067262986,9.48589388558336e-05,0.0018318857241737,0.0017370267853178665,0.0001011989504949507,0.0017835415054760868,0.001682342554981136,0.05558001870952745,0.9942383894644964,0.9386583707549689,0.007251998373653002,0.21770783204195196,0.0,0.03847376788553259,0.074336600528717,0.901318928291024,0.00394415655581015,0.0176022720562111,0.826982327762307,12.12483382183767,0.01365811550040095,primary_5pct
GA,CTRL_random_noise,CTRL,unstructured_noise,100.0,D2_missing_component,D2,localized_gross,0.5,100.29027759642067,98.65434432000234,1.6359332764183279,0.016311982732778018,0.0098449109796308,0.0002055925644648,0.009639318415166,0.009956877864022983,0.00014360776862638945,0.009813270095396594,4.988842218679351,0.11410007543009336,4.874742143249258,0.06201990179366125,0.001931375925526813,0.0,0.08627450980392157,22.55151272376019,0.06270682893824905,0.14129324573925983,0.00432000035749765,22.48880589482194,359.634079821959,0.13697324538176217,primary_5pct
GA,D1_appendage_disp,D1,coherent_extensive,2.0,D4_appendage_scale,D4,low_projection_nuisance,0.005,3.7532989971191384,3.717175756126769,0.03612324099236952,0.009624397368847,0.002069812020604,0.00031134904318475,0.0017584629774192503,0.002099714289204459,0.0009558322665224716,0.0011438820226819873,1.057114530305661,0.48553494310280754,0.5715795872028535,0.3041188495174571,0.1405095321933142,0.3551669316375199,0.17647058823529413,1.0762385216507087,0.5774229995002036,0.00597523070855615,0.00884304471833115,0.49881552215050506,1.8638650046538876,0.002867814009774999,primary_5pct
GA,D1_appendage_disp,D1,coherent_extensive,5.0,D5_appendage_tilt,D5,coherent_extensive_rot,0.25,5.003310911558172,5.071529152480024,0.06821824092185214,0.013451217349010563,0.0051290710488182,0.00170934151145025,0.0034197295373679503,0.005169053963642306,3.280957068600658e-05,0.0051362443929563,2.602700106140045,1.4967171698477655,1.1059829362922797,0.568109768067237,0.0035288955113996047,0.3551669316375199,0.3551669316375199,2.7706031610308224,0.42173407111689987,0.01381829954052945,0.22457154458875372,2.3488690899139226,6.569550223185176,0.21075324504822426,primary_5pct
GA,D1_appendage_disp,D1,coherent_extensive,10.0,D3_local_surface_off,D3,localized_gross_small,50.0,7.946134527519176,7.699460031403682,0.24667449611549408,0.031043332485903324,0.010187724894873101,0.0018318857241737,0.008355839170699401,0.01012728650819734,0.0017835415054760868,0.008343745002721253,5.094449052598623,0.9942383894644964,4.100210663134127,0.7359627401776243,0.21770783204195196,0.3551669316375199,0.03847376788553259,8.928474981074032,0.901318928291024,0.0152613547820683,0.0176022720562111,8.027156052783008,9.906010736957635,0.0023409172741428,primary_5pct
GA,D1_appendage_disp,D1,coherent_extensive,50.0,D2_missing_component,D2,localized_gross,0.25,35.89463558077538,36.73688198519235,0.8422464044169686,0.022926453169228013,0.051043674673671394,3.2606297496639776e-05,0.05101106837617475,0.050994867091114136,2.999638760796048e-05,0.05096487070350618,25.665183304805453,0.02687498728754885,25.638308317517904,0.9394818447883067,0.0012799815219531184,0.3551669316375199,0.043137254901960784,39.16299536763985,0.0166850166241031,0.008051180126289949,0.0015324435866688,39.14631035101575,2347.1954658447967,0.006518736539621149,primary_5pct
GA,D2_missing_component,D2,localized_gross,0.25,D1_appendage_disp,D1,coherent_extensive,50.0,36.73688198519235,35.89463558077538,0.8422464044169686,0.022926453169228013,3.2606297496639776e-05,0.051043674673671394,0.05101106837617475,2.999638760796048e-05,0.050994867091114136,0.05096487070350618,0.02687498728754885,25.665183304805453,25.638308317517904,0.0012799815219531184,0.9394818447883067,0.043137254901960784,0.3551669316375199,0.0166850166241031,39.16299536763985,0.0015324435866688,0.008051180126289949,39.14631035101575,2347.1954658447967,0.006518736539621149,primary_5pct
GA,D2_missing_component,D2,localized_gross,0.5,CTRL_random_noise,CTRL,unstructured_noise,100.0,98.65434432000234,100.29027759642067,1.6359332764183279,0.016311982732778018,0.0002055925644648,0.0098449109796308,0.009639318415166,0.00014360776862638945,0.009956877864022983,0.009813270095396594,0.11410007543009336,4.988842218679351,4.874742143249258,0.001931375925526813,0.06201990179366125,0.08627450980392157,0.0,0.06270682893824905,22.55151272376019,0.00432000035749765,0.14129324573925983,22.48880589482194,359.634079821959,0.13697324538176217,primary_5pct
GA,D3_local_surface_off,D3,localized_gross_small,5.0,D4_appendage_scale,D4,low_projection_nuisance,0.005,3.5611758640047193,3.717175756126769,0.15599989212204957,0.04196731668254468,0.0003036222161162,0.00031134904318475,7.726827068549986e-06,0.0002932737958913428,0.0009558322665224716,0.0006625584706311288,0.15889129051271728,0.48553494310280754,0.32664365259009026,0.04481999114207016,0.1405095321933142,0.03847376788553259,0.17647058823529413,0.14495318505994295,0.5774229995002036,0.00259435304361155,0.00884304471833115,0.43246981444026067,3.983513706590304,0.006248691674719599,primary_5pct
GA,D3_local_surface_off,D3,localized_gross_small,10.0,D5_appendage_tilt,D5,coherent_extensive_rot,0.1,3.8524666782887387,3.873285672305798,0.02081899401705911,0.005375021565260741,0.0005996195775389501,0.0010983607010799,0.0004987411235409499,0.0005817086867198293,3.1643887082232474e-05,0.0005500647996375969,0.31773579554873355,1.5456212115498467,1.2278854160011132,0.08584438956972498,0.0043900037654417854,0.03847376788553259,0.3551669316375199,0.2937947036830061,0.17955118716894436,0.0041529014606618495,0.08991237056010509,0.11424351651406173,1.6362726881140979,0.08575946909944324,primary_5pct
GA,D3_local_surface_off,D3,localized_gross_small,25.0,D4_appendage_scale,D4,low_projection_nuisance,0.05,5.393480025617897,5.405068731212607,0.01158870559470948,0.0021440440762183605,0.001057244560486,0.0008220067095304499,0.00023523785095555007,0.0010212402143250257,0.000886803927292985,0.00013443628703204064,0.5794779279261223,0.4508691811652539,0.12860874676086842,0.134184318706064,0.1150968945529958,0.03847376788553259,0.17647058823529413,0.5559651619393513,0.6190900067007652,0.01082389565712015,0.00911193266648575,0.06312484476141389,1.1135410077516692,0.0017119629906344,primary_5pct
GA,D3_local_surface_off,D3,localized_gross_small,50.0,CTRL_random_noise,CTRL,unstructured_noise,5.0,7.699460031403682,7.488966879919857,0.2104931514838242,0.027338690067262986,0.0018318857241737,9.48589388558336e-05,0.0017370267853178665,0.0017835415054760868,0.0001011989504949507,0.001682342554981136,0.9942383894644964,0.05558001870952745,0.9386583707549689,0.21770783204195196,0.007251998373653002,0.03847376788553259,0.0,0.901318928291024,0.074336600528717,0.0176022720562111,0.00394415655581015,0.826982327762307,12.12483382183767,0.01365811550040095,primary_5pct
GA,D4_appendage_scale,D4,low_projection_nuisance,0.005,D1_appendage_disp,D1,coherent_extensive,2.0,3.717175756126769,3.7532989971191384,0.03612324099236952,0.009624397368847,0.00031134904318475,0.002069812020604,0.0017584629774192503,0.0009558322665224716,0.002099714289204459,0.0011438820226819873,0.48553494310280754,1.057114530305661,0.5715795872028535,0.1405095321933142,0.3041188495174571,0.17647058823529413,0.3551669316375199,0.5774229995002036,1.0762385216507087,0.00884304471833115,0.00597523070855615,0.49881552215050506,1.8638650046538876,0.002867814009774999,primary_5pct
GA,D4_appendage_scale,D4,low_projection_nuisance,0.01,D5_appendage_tilt,D5,coherent_extensive_rot,0.1,3.93139285668682,3.873285672305798,0.05810718438102214,0.014780304716225167,0.000159031955547,0.0010983607010799,0.0009393287455328999,0.000295236049929214,3.1643887082232474e-05,0.00026359216284698155,0.15342269039437145,1.5456212115498467,1.3921985211554753,0.04118599531343759,0.0043900037654417854,0.17647058823529413,0.3551669316375199,0.22821397882173589,0.17955118716894436,0.00399764735846115,0.08991237056010509,0.048662791652791526,1.2710246165457177,0.08591472320164395,primary_5pct
GA,D4_appendage_scale,D4,low_projection_nuisance,0.05,D3_local_surface_off,D3,localized_gross_small,25.0,5.405068731212607,5.393480025617897,0.01158870559470948,0.0021440440762183605,0.0008220067095304499,0.001057244560486,0.00023523785095555007,0.000886803927292985,0.0010212402143250257,0.00013443628703204064,0.4508691811652539,0.5794779279261223,0.12860874676086842,0.1150968945529958,0.134184318706064,0.17647058823529413,0.03847376788553259,0.6190900067007652,0.5559651619393513,0.00911193266648575,0.01082389565712015,0.06312484476141389,1.1135410077516692,0.0017119629906344,primary_5pct
GA,D5_appendage_tilt,D5,coherent_extensive_rot,0.1,D3_local_surface_off,D3,localized_gross_small,10.0,3.873285672305798,3.8524666782887387,0.02081899401705911,0.005375021565260741,0.0010983607010799,0.0005996195775389501,0.0004987411235409499,3.1643887082232474e-05,0.0005817086867198293,0.0005500647996375969,1.5456212115498467,0.31773579554873355,1.2278854160011132,0.0043900037654417854,0.08584438956972498,0.3551669316375199,0.03847376788553259,0.17955118716894436,0.2937947036830061,0.08991237056010509,0.0041529014606618495,0.11424351651406173,1.6362726881140979,0.08575946909944324,primary_5pct
GA,D5_appendage_tilt,D5,coherent_extensive_rot,0.25,D1_appendage_disp,D1,coherent_extensive,5.0,5.071529152480024,5.003310911558172,0.06821824092185214,0.013451217349010563,0.00170934151145025,0.0051290710488182,0.0034197295373679503,3.280957068600658e-05,0.005169053963642306,0.0051362443929563,1.4967171698477655,2.602700106140045,1.1059829362922797,0.0035288955113996047,0.568109768067237,0.3551669316375199,0.3551669316375199,0.42173407111689987,2.7706031610308224,0.22457154458875372,0.01381829954052945,2.3488690899139226,6.569550223185176,0.21075324504822426,primary_5pct
GA,D5_appendage_tilt,D5,coherent_extensive_rot,0.5,D1_appendage_disp,D1,coherent_extensive,5.0,5.183664687565995,5.003310911558172,0.18035377600782265,0.034792716519730815,0.0027155834507211,0.0051290710488182,0.0024134875980971002,2.6280800659637866e-05,0.005169053963642306,0.005142773162982669,0.5008797439960879,2.602700106140045,2.1018203621439575,0.0028951792843343246,0.568109768067237,0.3551669316375199,0.3551669316375199,0.06676124100194185,2.7706031610308224,0.03224645521916135,0.01381829954052945,2.7038419200288804,41.50017464400093,0.0184281556786319,primary_5pct
GB,CTRL_random_noise,CTRL,unstructured_noise,2.0,D1_appendage_disp,D1,coherent_extensive,5.0,4.783331739904355,4.760991100674081,0.02234063923027385,0.004670518468100346,5.345903500333994e-05,0.0042936379867605495,0.004240178951757209,5.6030503437990884e-05,0.00428850864264897,0.004232478139210979,0.055675944124547475,2.1667711580415108,2.1110952139169634,0.006341948420143593,0.4976743090824243,0.0,0.31966488605357213,0.03942012043177865,2.2974478032050936,0.0027013445620352,0.0221448113486736,2.258027682773315,58.28109549236686,0.0194434667866384,primary_5pct
GB,CTRL_random_noise,CTRL,unstructured_noise,5.0,D1_appendage_disp,D1,coherent_extensive,10.0,7.482275019763405,7.410057744664807,0.07221727509859743,0.009651780361968171,0.0001136369266487,0.0085924497455496,0.008478812818900899,0.00011660756378922715,0.008570943239764147,0.00845433567597492,0.09251389816029232,4.331416502244748,4.238902604084456,0.008368643637108392,0.6824335801216688,0.0,0.31966488605357213,0.11390490829196365,9.779203418296412,0.0061812057699028,0.026279536272873,9.665298510004448,85.85410027485501,0.0200983305029702,primary_5pct
GB,CTRL_random_noise,CTRL,unstructured_noise,50.0,D2_missing_component,D2,localized_gross,0.25,50.10689796259919,51.878110242840286,1.7712122802410946,0.034141804162682275,0.0037167983498427003,4.503407208824029e-05,0.00367176427775446,0.0038781179131321514,3.437160286444649e-05,0.003843746310267705,2.3028477154230447,0.04586902250035785,2.256978692922687,0.047760850028762396,0.000869387612567816,0.0,0.06371776641943046,7.415944229504536,0.025629368933027648,0.14638850838756723,0.0020886097472829,7.390314860571508,289.3533683518783,0.14429989864028434,primary_5pct
GB,D1_appendage_disp,D1,coherent_extensive,2.0,D4_appendage_scale,D4,low_projection_nuisance,0.005,3.7035124237867505,3.707828252035246,0.0043158282484956345,0.0011639773892241783,0.0017293769549176,0.0002644839714718,0.0014648929834458,0.0017192779146587654,0.0008158351586414518,0.0009034427560173136,0.8682582657035808,1.1193404649561338,0.25108219925255304,0.25226030376596464,0.11987151678107141,0.31966488605357213,0.15593174743476423,0.9053625984659606,0.16948227575330005,0.00916698689538615,0.0286936305221722,0.7358803227126605,5.341930856438432,0.01952664362678605,primary_5pct
GB,D1_appendage_disp,D1,coherent_extensive,5.0,CTRL_random_noise,CTRL,unstructured_noise,2.0,4.760991100674081,4.783331739904355,0.02234063923027385,0.004670518468100346,0.0042936379867605495,5.345903500333994e-05,0.004240178951757209,0.00428850864264897,5.6030503437990884e-05,0.004232478139210979,2.1667711580415108,0.055675944124547475,2.1110952139169634,0.4976743090824243,0.006341948420143593,0.31966488605357213,0.0,2.2974478032050936,0.03942012043177865,0.0221448113486736,0.0027013445620352,2.258027682773315,58.28109549236686,0.0194434667866384,primary_5pct
GB,D1_appendage_disp,D1,coherent_extensive,10.0,CTRL_random_noise,CTRL,unstructured_noise,5.0,7.410057744664807,7.482275019763405,0.07221727509859743,0.009651780361968171,0.0085924497455496,0.0001136369266487,0.008478812818900899,0.008570943239764147,0.00011660756378922715,0.00845433567597492,4.331416502244748,0.09251389816029232,4.238902604084456,0.6824335801216688,0.008368643637108392,0.31966488605357213,0.0,9.779203418296412,0.11390490829196365,0.026279536272873,0.0061812057699028,9.665298510004448,85.85410027485501,0.0200983305029702,primary_5pct
GB,D2_missing_component,D2,localized_gross,0.25,CTRL_random_noise,CTRL,unstructured_noise,50.0,51.878110242840286,50.10689796259919,1.7712122802410946,0.034141804162682275,4.503407208824029e-05,0.0037167983498427003,0.00367176427775446,3.437160286444649e-05,0.0038781179131321514,0.003843746310267705,0.04586902250035785,2.3028477154230447,2.256978692922687,0.000869387612567816,0.047760850028762396,0.06371776641943046,0.0,0.025629368933027648,7.415944229504536,0.0020886097472829,0.14638850838756723,7.390314860571508,289.3533683518783,0.14429989864028434,primary_5pct
GB,D3_local_surface_off,D3,localized_gross_small,5.0,D1_appendage_disp,D1,coherent_extensive,2.0,3.5987405981932046,3.7035124237867505,0.10477182559354592,0.02828985395610454,0.00040171981045205,0.0017293769549176,0.00132765714446555,0.0003935598945523054,0.0017192779146587654,0.00132571802010646,0.32304788423976594,0.8682582657035808,0.5452103814638148,0.05980507963207862,0.25226030376596464,0.04442565620076092,0.31966488605357213,0.317004148990387,0.9053625984659606,0.009589844195738901,0.00916698689538615,0.5883584494755736,2.85599605351984,0.0004228573003527518,primary_5pct
GB,D3_local_surface_off,D3,localized_gross_small,10.0,D5_appendage_tilt,D5,coherent_extensive_rot,0.1,3.9688302859610363,3.9089645010305487,0.05986578493048755,0.015083987123926942,0.0007763646547663001,0.0008884340918781501,0.00011206943711184999,0.0007660857363124376,0.001965330366048637,0.0011992446297361995,0.6238409948261032,3.0338445261133318,2.4100035312872286,0.11062538024193877,0.2736153075093227,0.04442565620076092,0.3194919488105761,0.620566039533851,0.13376831502726,0.018828803775533053,0.0858277109064742,0.48679772450659103,4.639110834336135,0.06699890713094114,primary_5pct
GB,D3_local_surface_off,D3,localized_gross_small,50.0,D4_appendage_scale,D4,low_projection_nuisance,0.1,10.274301948348832,10.392611908299175,0.11830995995034321,0.011384044838224455,0.0038482454366603504,0.00436552284486525,0.0005172774082048996,0.003752242366523014,0.0024553371860991267,0.0012969051804238873,3.032825625263727,3.353304888988389,0.3204792637246623,0.37958067542405305,0.2685832623160298,0.04442565620076092,0.15593174743476423,3.5836471943425097,0.7732868653090856,0.11032791332157746,0.11624735818383819,2.810360329033424,4.634305010353581,0.005919444862260731,primary_5pct
GB,D4_appendage_scale,D4,low_projection_nuisance,0.005,D1_appendage_disp,D1,coherent_extensive,2.0,3.707828252035246,3.7035124237867505,0.0043158282484956345,0.0011639773892241783,0.0002644839714718,0.0017293769549176,0.0014648929834458,0.0008158351586414518,0.0017192779146587654,0.0009034427560173136,1.1193404649561338,0.8682582657035808,0.25108219925255304,0.11987151678107141,0.25226030376596464,0.15593174743476423,0.31966488605357213,0.16948227575330005,0.9053625984659606,0.0286936305221722,0.00916698689538615,0.7358803227126605,5.341930856438432,0.01952664362678605,primary_5pct
GB,D4_appendage_scale,D4,low_projection_nuisance,0.01,D5_appendage_tilt,D5,coherent_extensive_rot,0.1,3.8517744176280386,3.9089645010305487,0.057190083402510083,0.014630494441029752,0.00013646539308835,0.0008884340918781501,0.0007519686987898001,0.0001436254454354358,0.001965330366048637,0.0018217049206132013,0.19361165775463393,3.0338445261133318,2.8402328683586977,0.02048525049440688,0.2736153075093227,0.15593174743476423,0.3194919488105761,0.0411646026577121,0.13376831502726,0.0056903351762195,0.0858277109064742,0.0926037123695479,3.2495956815023157,0.0801373757302547,primary_5pct
GB,D4_appendage_scale,D4,low_projection_nuisance,0.025,D3_local_surface_off,D3,localized_gross_small,10.0,4.059726655833918,3.9688302859610363,0.09089636987288197,0.0223897758589884,0.00039734132823274996,0.0007763646547663001,0.0003790233265335501,0.00024029813352524916,0.0007660857363124376,0.0005257876027871884,0.3273081058320457,0.6238409948261032,0.2965328889940575,0.03407161485980106,0.11062538024193877,0.15593174743476423,0.04442565620076092,0.05835866326949135,0.620566039533851,0.0093718478862364,0.018828803775533053,0.5622073762643597,10.633657537153864,0.009456955889296653,primary_5pct
GB,D4_appendage_scale,D4,low_projection_nuisance,0.05,D5_appendage_tilt,D5,coherent_extensive_rot,0.5,5.33078786930758,5.07812839530378,0.2526594740037993,0.0473962724081567,0.0012609775393094,0.00316006596975595,0.00189908843044655,0.0007107494747071407,0.00014147275540958907,0.0005692767192975516,0.978972030494626,1.9079654706022584,0.9289934401076324,0.0944728117091338,0.016045364028057785,0.15593174743476423,0.3194919488105761,0.18394905310935966,1.528214095852749,0.029915724775929853,0.12352266417759035,1.3442650427433893,8.307811701233437,0.0936069394016605,primary_5pct
GB,D4_appendage_scale,D4,low_projection_nuisance,0.1,D3_local_surface_off,D3,localized_gross_small,50.0,10.392611908299175,10.274301948348832,0.11830995995034321,0.011384044838224455,0.00436552284486525,0.0038482454366603504,0.0005172774082048996,0.0024553371860991267,0.003752242366523014,0.0012969051804238873,3.353304888988389,3.032825625263727,0.3204792637246623,0.2685832623160298,0.37958067542405305,0.15593174743476423,0.04442565620076092,0.7732868653090856,3.5836471943425097,0.11624735818383819,0.11032791332157746,2.810360329033424,4.634305010353581,0.005919444862260731,primary_5pct
GB,D5_appendage_tilt,D5,coherent_extensive_rot,0.1,D4_appendage_scale,D4,low_projection_nuisance,0.01,3.9089645010305487,3.8517744176280386,0.057190083402510083,0.014630494441029752,0.0008884340918781501,0.00013646539308835,0.0007519686987898001,0.001965330366048637,0.0001436254454354358,0.0018217049206132013,3.0338445261133318,0.19361165775463393,2.8402328683586977,0.2736153075093227,0.02048525049440688,0.3194919488105761,0.15593174743476423,0.13376831502726,0.0411646026577121,0.0858277109064742,0.0056903351762195,0.0926037123695479,3.2495956815023157,0.0801373757302547,primary_5pct
GB,D5_appendage_tilt,D5,coherent_extensive_rot,0.25,CTRL_random_noise,CTRL,unstructured_noise,2.0,4.970698971168842,4.783331739904355,0.18736723126448673,0.03769434285826969,0.00158805152808335,5.345903500333994e-05,0.0015345924930800102,4.687240885942669e-05,5.6030503437990884e-05,9.158094578564194e-06,0.9002563923865208,0.055675944124547475,0.8445804482619733,0.005058422388146086,0.006341948420143593,0.3194919488105761,0.0,0.3476693475569732,0.03942012043177865,0.2133811070932154,0.0027013445620352,0.30824922712519454,8.81959120745604,0.2106797625311802,primary_5pct
GB,D5_appendage_tilt,D5,coherent_extensive_rot,0.5,D4_appendage_scale,D4,low_projection_nuisance,0.05,5.07812839530378,5.33078786930758,0.2526594740037993,0.0473962724081567,0.00316006596975595,0.0012609775393094,0.00189908843044655,0.00014147275540958907,0.0007107494747071407,0.0005692767192975516,1.9079654706022584,0.978972030494626,0.9289934401076324,0.016045364028057785,0.0944728117091338,0.3194919488105761,0.15593174743476423,1.528214095852749,0.18394905310935966,0.12352266417759035,0.029915724775929853,1.3442650427433893,8.307811701233437,0.0936069394016605,primary_5pct
GC,CTRL_random_noise,CTRL,unstructured_noise,2.0,D3_local_surface_off,D3,localized_gross_small,5.0,4.795705781040274,4.838625767590077,0.04291998654980311,0.008870284376462496,8.368381892123053e-05,0.0020905272912116997,0.0020068434722904692,9.580596073962552e-05,0.003383468161922875,0.0032876622011832495,0.09428644480214687,2.770209004111445,2.675922559309298,0.010773695053955777,0.37730307825980325,0.0,0.37991447096151193,0.05817181330650205,2.4784676713422344,0.011965067179957201,0.21755027467503996,2.4202958580357326,42.60598957580042,0.20558520749508274,primary_5pct
GC,CTRL_random_noise,CTRL,unstructured_noise,5.0,D1_appendage_disp,D1,coherent_extensive,25.0,7.4742961891347734,7.750161357754084,0.275865168619311,0.035594764532651466,0.00020241419808265,0.00388744890387215,0.0036850347057895,0.00022968646561729428,0.0038336349954999076,0.0036039485298826135,0.15881008690541581,2.3898472986059325,2.231037211700517,0.016553230715268243,0.38537289441940403,0.0,0.08580493861222238,0.1895831533332631,2.3799774523509365,0.02589591381919195,0.18071177866605176,2.1903942990176732,12.55373914035093,0.1548158648468598,primary_5pct
GC,D1_appendage_disp,D1,coherent_extensive,2.0,D4_appendage_scale,D4,low_projection_nuisance,0.025,3.540734379388868,3.5513985548693467,0.010664175480478821,0.003002810108670315,0.000435489470756,0.0001660315804364,0.0002694578903196,0.000535129232422559,0.0003054411430153488,0.00022968808940721023,0.4217722712519142,0.2918119245768618,0.1299603466750524,0.08233513830535985,0.04721890840908287,0.08580493861222238,0.0331080148986067,0.2523424003479063,0.1119051614803421,0.02360641597382505,0.018921476986228848,0.14043723886756418,2.2549665896530984,0.004684938987596202,primary_5pct
GC,D1_appendage_disp,D1,coherent_extensive,5.0,D5_appendage_tilt,D5,coherent_extensive_rot,1.0,3.86247695393377,3.833324595041789,0.02915235889198131,0.0075475813162563625,0.0009047212793316501,0.00015102898942925,0.0007536922899024001,0.001077194820775128,0.00016444348370497588,0.0009127513370701522,0.7899423012618345,0.1562363308223913,0.6337059704394432,0.15428070481480347,0.02360579744050317,0.08580493861222238,0.08580493861222238,0.5946338440048657,0.16812949465703408,0.050162263402718496,0.0401658692549199,0.42650434934783166,3.536761025885757,0.009996394147798598,primary_5pct
GC,D1_appendage_disp,D1,coherent_extensive,25.0,CTRL_random_noise,CTRL,unstructured_noise,5.0,7.750161357754084,7.4742961891347734,0.275865168619311,0.035594764532651466,0.00388744890387215,0.00020241419808265,0.0036850347057895,0.0038336349954999076,0.00022968646561729428,0.0036039485298826135,2.3898472986059325,0.15881008690541581,2.231037211700517,0.38537289441940403,0.016553230715268243,0.08580493861222238,0.0,2.3799774523509365,0.1895831533332631,0.18071177866605176,0.02589591381919195,2.1903942990176732,12.55373914035093,0.1548158648468598,primary_5pct
GC,D1_appendage_disp,D1,coherent_extensive,50.0,D2_missing_component,D2,localized_gross,0.75,14.31485910065173,14.897061123922175,0.5822020232704439,0.03908166976206638,0.0077478710533654994,0.0009239105116060501,0.006823960541759449,0.007637677878281012,0.0008043972976759085,0.006833280580605104,4.729943788102414,0.7526666555994507,3.977277132502963,0.5365464024216615,0.06982893859593897,0.08580493861222238,0.02400331080148986,11.779784794156786,0.4433834307607998,0.32928608901034145,0.07534764330904425,11.336401363395986,26.567940921797423,0.2539384457012972,primary_5pct
