section,trajectory,method,axis,n,K,median,q25,q75,ci_lo,ci_hi,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,sign_p,wilcoxon_p,median_frame_benefit
marginal,VI,Raw,translation,501.0,6,161.4078916359028,152.70978278288007,168.44528313870774,154.38743131525254,166.2218009934645,,,,,,,,,
marginal,VI,Raw,rotation,501.0,6,4.509032326167583,3.857759547284926,5.007369806393239,4.0880212674281635,4.751034371055729,,,,,,,,,
marginal,VI,Huber,translation,501.0,6,148.89218795717866,141.1590681495923,155.27008807498268,139.19079843739323,153.39030564961683,,,,,,,,,
marginal,VI,Huber,rotation,501.0,6,3.946522813593576,3.329901824509544,4.460226305170366,3.586443134197669,4.2975342547552575,,,,,,,,,
marginal,VI,Trim,translation,501.0,6,144.76727027751295,134.29923260982906,149.66378812562292,130.1302855163707,148.93009816330095,,,,,,,,,
marginal,VI,Trim,rotation,501.0,6,3.773222206815592,3.1804923315855387,4.306651785594891,3.454155826058265,4.166569600557516,,,,,,,,,
marginal,VI,Global,translation,501.0,6,156.99964357260168,148.70244625932486,162.91850737144415,148.05210917690337,160.79511209673495,,,,,,,,,
marginal,VI,Global,rotation,501.0,6,4.505814801288013,3.8578284740790094,5.013365122096073,4.088657133766787,4.751696262441167,,,,,,,,,
marginal,VI,Patch,translation,501.0,6,116.81527871617058,109.77223450483656,124.6922904641099,112.28025534665262,121.25573988739629,,,,,,,,,
marginal,VI,Patch,rotation,501.0,6,4.66731556808484,3.884236345277726,5.592374948351854,4.198334710903446,5.296373136656632,,,,,,,,,
marginal,VI,Full,translation,501.0,6,76.85698936670394,67.53246487238185,85.44029651943671,73.59262900176459,80.84614034369054,,,,,,,,,
marginal,VI,Full,rotation,501.0,6,2.880859773738778,2.0720622463046667,3.630353074489021,2.489339160040892,3.2422259740005046,,,,,,,,,
marginal,IV,Raw,translation,156.0,4,160.423862077838,155.9652361070568,164.9181833365643,157.78674174395752,166.31083619143928,,,,,,,,,
marginal,IV,Raw,rotation,156.0,4,4.006055547406119,3.5530973815376594,4.434011171279623,3.883711342382385,4.145260237274031,,,,,,,,,
marginal,IV,Huber,translation,156.0,4,132.56240261356217,129.78010435501523,137.74681418304988,129.28483675471108,138.5518234327535,,,,,,,,,
marginal,IV,Huber,rotation,156.0,4,3.401346458758705,3.0874654023769805,3.761057978381865,3.240869566802078,3.54870541572744,,,,,,,,,
marginal,IV,Trim,translation,156.0,4,125.20455103544867,120.37774483658254,131.2629376222437,117.59998494933734,132.55770059936344,,,,,,,,,
marginal,IV,Trim,rotation,156.0,4,3.2216573377504494,2.82578858285076,3.556773561882612,2.9782200301624524,3.294585376648558,,,,,,,,,
marginal,IV,Global,translation,156.0,4,153.3834102744502,148.89397075712407,158.13340225939098,150.79228364796333,159.26138971265766,,,,,,,,,
marginal,IV,Global,rotation,156.0,4,4.007969827955609,3.556631108237251,4.424146652768786,3.8802519177909507,4.141753921656953,,,,,,,,,
marginal,IV,Patch,translation,156.0,4,126.26002467918383,118.76083474606382,139.28082107730205,120.5265036175322,142.6894794900802,,,,,,,,,
marginal,IV,Patch,rotation,156.0,4,4.0003627437297276,3.524863949048087,4.546873924519737,3.6577099608096235,4.377422837808339,,,,,,,,,
marginal,IV,Full,translation,156.0,4,82.89797130448864,76.71861656367321,107.23724859911253,77.55369879110987,111.13858736194433,,,,,,,,,
marginal,IV,Full,rotation,156.0,4,2.4644492346945155,1.8064360561840263,3.0137922184903467,2.222162444210001,2.6612371751466837,,,,,,,,,
marginal,II,Raw,translation,428.0,9,66.14920168537466,56.05622781927296,93.7099404086743,57.9869324932067,88.81321987402296,,,,,,,,,
marginal,II,Raw,rotation,428.0,9,1.7742670258913975,1.3216990310266234,2.373878905311585,1.4400669005038877,2.0844373784122303,,,,,,,,,
marginal,II,Huber,translation,428.0,9,50.896762880148486,37.2035207627341,64.42596751337776,36.39452353830862,64.30153495030626,,,,,,,,,
marginal,II,Huber,rotation,428.0,9,1.048944368693606,0.9330811820808177,1.1593406796598653,0.9991224314379561,1.1110434670674696,,,,,,,,,
marginal,II,Trim,translation,428.0,9,47.31514450153497,35.92466672172632,56.757844814787816,35.249497282577046,57.373865303349454,,,,,,,,,
marginal,II,Trim,rotation,428.0,9,1.0510585845729663,0.932366846810256,1.1341604536519885,0.9585385405202983,1.1073178104019812,,,,,,,,,
marginal,II,Global,translation,428.0,9,55.15435398889599,44.84365644214718,82.4537987234295,46.44526696399459,77.27484741436477,,,,,,,,,
marginal,II,Global,rotation,428.0,9,1.7746784769144575,1.3240598286477512,2.375225120384264,1.4394135088207196,2.0872929090638723,,,,,,,,,
marginal,II,Patch,translation,428.0,9,41.77723740078632,33.94298068132507,73.3932571360748,35.23121940050158,70.8778461509393,,,,,,,,,
marginal,II,Patch,rotation,428.0,9,1.2694027224561912,0.7676099879311041,1.8966694064831404,0.7863175130053577,1.6536443818820297,,,,,,,,,
marginal,II,Full,translation,428.0,9,68.8585295049208,57.81129500579188,78.18076948067001,57.967593024230894,74.8243263798834,,,,,,,,,
marginal,II,Full,rotation,428.0,9,2.2479043673156216,1.564926066745998,2.766906145461408,2.0108626418973548,2.3928120843080003,,,,,,,,,
marginal,III,Raw,translation,371.0,8,75.03685823906689,54.04778861708195,86.37978732748773,54.215123430297325,85.57901883646726,,,,,,,,,
marginal,III,Raw,rotation,371.0,8,1.6582788034687348,1.2380414804303843,2.525925743519894,1.3258224501703642,2.548661417085196,,,,,,,,,
marginal,III,Huber,translation,371.0,8,55.890951830742615,41.034981873995164,61.14496076340186,41.23880405699994,61.0836685704509,,,,,,,,,
marginal,III,Huber,rotation,371.0,8,1.0469504575392192,0.8968670076257107,1.3654207686537259,0.9323256473830562,1.3765957593955558,,,,,,,,,
marginal,III,Trim,translation,371.0,8,55.03018006664552,44.227511795833166,58.40678526503709,43.701557197055806,58.03432199787761,,,,,,,,,
marginal,III,Trim,rotation,371.0,8,1.1529579492353623,1.0048572914415836,1.2925643592310077,1.0465953521551852,1.2500624282807788,,,,,,,,,
marginal,III,Global,translation,371.0,8,65.403891552879,47.485954387927904,76.7906787737399,47.56901775975302,76.28282010509743,,,,,,,,,
marginal,III,Global,rotation,371.0,8,1.6553736005026014,1.2415227919056335,2.525433589424236,1.3349954690032892,2.5523171999725647,,,,,,,,,
marginal,III,Patch,translation,371.0,8,41.29782690845897,24.006420198488932,57.82741774164175,24.02386364865552,56.57388069099374,,,,,,,,,
marginal,III,Patch,rotation,371.0,8,2.116023558976764,1.4227398557113804,2.6597152799425725,1.4553103107003236,2.5432592810122814,,,,,,,,,
marginal,III,Full,translation,371.0,8,51.23756950157603,42.35235765175301,71.55772102992489,43.88341482443486,71.55772102992489,,,,,,,,,
marginal,III,Full,rotation,371.0,8,2.641464510948353,2.056715951451003,3.4166457607787084,2.27944398450342,3.1502525117595246,,,,,,,,,
paired,VI,Patch_vs_Raw,translation,,6,,41.748586001318756,44.66392251595761,40.41963216962371,45.33200581492504,Patch,Raw,6.0,0.0,0.0,43.805045137914654,0.03125,0.03125,43.5102795086748
paired,VI,Patch_vs_Raw,rotation,,6,,-0.4863673074592556,-0.01591724870938499,-0.6304203930492729,0.09592013602649796,Patch,Raw,2.0,4.0,0.0,-0.3670869018535152,0.6875,0.15625,-0.28057350638390943
paired,VI,Patch_vs_Huber,translation,,6,,24.453363610891095,35.25639551778792,23.11887853000141,37.89271576741577,Patch,Huber,6.0,0.0,0.0,29.370035015031565,0.03125,0.03125,29.839477366016993
paired,VI,Patch_vs_Huber,rotation,,6,,-1.0460901426973919,-0.5702640595070465,-1.1769104954273715,-0.4872507352976472,Patch,Huber,0.0,6.0,0.0,-0.8849647316262492,0.03125,0.03125,-0.8505814387332107
paired,VI,Patch_vs_Trim,translation,,6,,17.48077112009945,30.280208000944896,16.59984356694778,35.34588757053267,Patch,Trim,6.0,0.0,0.0,22.214064260987225,0.03125,0.03125,24.53318073395461
