trajectory,order,scan,method,block,in_support,translation_error_mm,rotation_error_deg
II,154,154,Global,0,True,78.47588244044947,1.9574943185589564
II,154,154,Huber,0,True,70.68019053986538,0.8772111997728103
II,154,154,Patch,0,True,34.60010282314159,1.1237441410718711
II,154,154,Raw,0,True,87.44289158567764,1.954397298694525
II,154,154,Trim,0,True,66.45438405010837,0.8079292305926236
II,155,155,Full,0,True,54.13210805085532,2.275754326795362
II,155,155,Global,0,True,79.09361725382773,2.600202944579105
II,155,155,Huber,0,True,71.48521484527377,1.1343696276879216
II,155,155,Patch,0,True,38.66879887719021,1.2470715712380296
II,155,155,Raw,0,True,88.77677139434556,2.594472712152044
II,155,155,Trim,0,True,66.88427150771638,0.9994993056088722
II,156,156,Full,0,True,53.79025852452784,2.544713954067537
II,156,156,Global,0,True,79.28653047964131,2.125294242717973
II,156,156,Huber,0,True,72.42812041011511,1.1080205597150987
II,156,156,Patch,0,True,37.17947696812527,0.9604616742311974
II,156,156,Raw,0,True,88.97639336331491,2.124642349844424
II,156,156,Trim,0,True,66.79950436545266,1.0304679091434987
II,157,157,Full,0,True,55.8097488113257,2.672138439788536
II,157,157,Global,0,True,81.00956924297435,2.2928276332577497
II,157,157,Huber,0,True,72.91586794521774,1.1034670796222477
II,157,157,Patch,0,True,41.416160156074895,1.0041112590614996
II,157,157,Raw,0,True,91.27184425851016,2.292097432679073
II,157,157,Trim,0,True,66.3295573393652,1.037452531646346
II,158,158,Full,0,True,52.98876825488841,2.715773828364607
II,158,158,Global,0,True,79.40765666640371,2.22071312702008
II,158,158,Huber,0,True,71.56076747685721,1.275374339260775
II,158,158,Patch,0,True,39.27608048028538,1.2546484876151338
II,158,158,Raw,0,True,89.81331771669205,2.218586308539568
II,158,158,Trim,0,True,65.41533873803247,1.2430915339225004
II,159,159,Full,0,True,48.60627961768411,2.523681462927713
II,159,159,Global,0,True,78.84132733853174,1.999759339293813
II,159,159,Huber,0,True,71.95347438980738,1.2575705344042514
II,159,159,Patch,0,True,35.98687586496337,0.8840358081301103
II,159,159,Raw,0,True,88.84966835370035,1.993277723552141
II,159,159,Trim,0,True,65.70305448475217,1.137735087069342
II,160,160,Full,0,True,46.03723326252623,2.395913209374066
II,160,160,Global,0,True,79.94233004566578,2.2969943091760263
II,160,160,Huber,0,True,71.59779507357824,1.228629174418571
II,160,160,Patch,0,True,34.99572721164034,0.9973969042252696
II,160,160,Raw,0,True,89.70674654452345,2.284084502835796
II,160,160,Trim,0,True,64.74154464168966,1.0288355336837882
II,161,161,Full,0,True,47.95096545899309,2.2337811549061333
II,161,161,Global,0,True,78.26995000038109,1.856189798323336
II,161,161,Huber,0,True,70.64625043855634,1.1450161936909893
II,161,161,Patch,0,True,34.93448765600339,1.1460301733426352
II,161,161,Raw,0,True,88.0094924800036,1.854486995182084
II,161,161,Trim,0,True,64.54719806463375,1.1494547161440725
II,162,162,Full,0,True,47.83232280455093,2.748056704436728
II,162,162,Global,0,True,77.53279600047489,1.631521687854622
II,162,162,Huber,0,True,69.64922179498559,1.0310729106693124
II,162,162,Patch,0,True,31.945974709720293,0.9321463616522178
II,162,162,Raw,0,True,86.92474381135257,1.630912277783839
II,162,162,Trim,0,True,63.8726689682944,0.9484903616221918
II,163,163,Full,0,True,43.69594628305354,2.5593611677613306
II,163,163,Global,0,True,76.84954849323788,1.3648995248690856
II,163,163,Huber,0,True,68.153406374551,1.0373947907367838
