geometry,dtype,selfnull_et,max_et,max_eR,monotone
GA,D1_appendage_disp,0.0196690090043641,80.72999486975826,0.5246349696698357,True
GA,D2_missing_component,0.01431820857046575,324.7052963979644,2.8412054604319863,True
GA,D3_local_surface_off,0.01628186857932435,2.3499286835345243,0.030281781665367852,True
GA,D4_appendage_scale,0.0158716506845824,1.8908795142658779,0.02886459675434825,False
GA,D5_appendage_tilt,0.015729098473766,0.8177013668517481,1.4960844839000798,False
GB,D1_appendage_disp,0.01826924999541785,80.76725997516454,0.0440975459590862,True
GB,D2_missing_component,0.0221387451390143,300.0,0.0059246152544486005,True
GB,D3_local_surface_off,0.02349005613181005,13.845619655957329,0.11032791332157746,True
GB,D4_appendage_scale,0.023415733117262298,0.7732868653090856,0.11624735818383819,False
GB,D5_appendage_tilt,0.024432070636815753,3.8512023195118026,1.2749627795084146,False
GC,D1_appendage_disp,0.0425533472973352,21.052032505640817,1.5974959379815186,True
GC,D2_missing_component,0.04158214265729155,18.247626787018834,1.9470415008206934,True
GC,D3_local_surface_off,0.04454285080894155,48.49455002424759,4.479071572696312,False
GC,D4_appendage_scale,0.0426194374872611,0.11614155661528841,0.02288278556740815,True
GC,D5_appendage_tilt,0.045353683902843805,0.23491156827802495,0.08431553619308099,True
