geometry,mag,et_mm
GA,2.0,0.0247878623739246
GA,5.0,0.074336600528717
GA,10.0,0.1717146521013212
GA,25.0,1.5660600596979801
GA,50.0,6.132957732117472
GA,100.0,22.55151272376019
GB,2.0,0.03942012043177865
GB,5.0,0.11390490829196365
GB,10.0,0.3173538548536265
GB,25.0,1.8401337908226276
GB,50.0,7.415944229504536
GB,100.0,26.693102142499065
GC,2.0,0.05817181330650205
GC,5.0,0.1895831533332631
GC,10.0,0.794787149305307
GC,25.0,3.5349727264522697
GC,50.0,12.716552303736606
GC,100.0,47.08108505802228
