scan,fold,eR_deg_Huber,eR_deg_PatchFullFit,eR_deg_PatchHuberOOF,eR_deg_PatchOOF,eR_deg_Raw,et_mm_Huber,et_mm_PatchFullFit,et_mm_PatchHuberOOF,et_mm_PatchOOF,et_mm_Raw,iters_Huber,iters_PatchFullFit,iters_PatchHuberOOF,iters_PatchOOF,iters_Raw,on_bound_Huber,on_bound_PatchFullFit,on_bound_PatchHuberOOF,on_bound_PatchOOF,on_bound_Raw,benefit_oof,benefit_fullfit,benefit_ph,rot_change_oof,oof_minus_fullfit_error
30,0,3.8372231898578497,5.154637986140575,4.13657576907918,5.189124201110446,4.509032326167583,132.7072466317472,102.1155538473895,84.76246507079343,102.28818709222143,147.85958022909705,40.0,24.0,40.0,25.0,39.0,0.0,0.0,0.0,0.0,0.0,45.57139313687561,45.74402638170754,47.944781560953786,-0.680091874942863,0.17263324483192832
31,0,3.467199524597752,3.7525607657001943,3.4700688348188846,3.7136987959654633,3.843456088248108,137.53930391135245,104.04005597040756,86.67068114075191,103.79241424107472,151.13694978083257,40.0,40.0,40.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,47.34453553975784,47.096893810425,50.86862277060054,0.12975729228264488,-0.247641729332841
32,0,4.670098391206825,5.72278386230239,4.984951605321185,5.653071626619799,5.602187833124552,137.3862457657483,112.4040240920315,90.52852408353242,112.17453173359296,156.54645738937097,22.0,40.0,40.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0,44.371925655778014,44.142433297339466,46.85772168221588,-0.050883793495247076,-0.22949235843854865
33,0,4.254904986196723,4.754689909052607,4.188189131309456,4.841935144571587,4.719372822855423,141.45886230182592,117.72858961317748,97.36750713430976,117.6923016107611,162.10904467639494,36.0,38.0,40.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,44.41674306563384,44.38045506321747,44.091355167516156,-0.12256232171616421,-0.03628800241637009
34,0,3.6322935110280543,3.961402684499424,3.774648806470645,3.947705949176712,3.779888446914253,134.65997739271106,111.89686964328467,92.74077104742751,112.33382426615798,156.4010113072841,33.0,30.0,40.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,44.06718704112613,44.504141663999434,41.91920634528354,-0.16781750226245906,0.43695462287330145
35,0,4.913289352964585,4.964670481449255,5.213473667537855,5.103780419487244,5.001879187101816,131.48921124297726,108.34765508547532,89.59461457967228,108.22221420652032,151.3364189526446,40.0,28.0,37.0,33.0,40.0,0.0,0.0,0.0,0.0,0.0,43.11420474612429,42.98876386716928,41.89459666330498,-0.10190123238542803,-0.1254408789550041
36,0,4.144080956903095,5.297837443304182,4.780857404956014,5.3199617862280615,4.295151437892984,125.1777638029965,98.85846216940364,80.67055160339183,98.79514726588638,140.80943343853926,40.0,37.0,40.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,42.014286172652874,41.95097126913562,44.507212199604666,-1.0248103483350777,-0.06331490351725222
37,0,3.2651009428447506,5.007426511880473,4.30471673139578,4.996871537141838,4.183590385040915,124.45529900770758,103.21558066829851,80.40836918562388,103.12910103942542,141.97598923069128,40.0,31.0,40.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,38.84688819126586,38.76040856239277,44.0469298220837,-0.8132811521009229,-0.0864796288730929
38,0,4.515654191056767,6.140640726981275,5.296368776171515,6.17064182750492,5.1272194922728325,128.3749324762752,99.0777838368386,79.87968794226803,99.6148396163881,142.40180987590296,40.0,40.0,36.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,42.78697025951486,43.32402603906435,48.49524453400717,-1.043422335232088,0.5370557795494904
39,0,5.171669441322898,6.556343588260287,5.763987242803055,6.58795276778161,5.871695231738166,131.0586476619768,104.69533395111804,84.09011978616199,105.58678669153936,147.77667268914763,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,42.18988599760827,43.08133873802959,46.968527875814814,-0.716257536043444,0.8914527404213146
40,0,3.942779661301416,4.462353510361972,4.518508479151541,4.508596402347805,4.336252269980186,133.53661477412942,109.24490028217735,88.09954640291974,110.18639115593884,152.43890387688938,38.0,26.0,40.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,42.25251272095055,43.19400359471203,45.437068371209676,-0.17234413236761892,0.9414908737614809
