fold,n,block_range,Raw_et_med,PatchOOF_et_med,paired_benefit_med,rot_change_med,trans_improved_frac,patch_boundary_rate,Huber_et_med,PatchHuberOOF_et_med,PH_benefit_med
0,70,"[0,70)",151.2366843667386,112.00112142334606,40.59434022270514,-0.5463006140999482,1.0,0.0,132.82968525230854,90.07622225011728,42.057773774089654
1,70,"[70,140)",151.7171962222667,111.04778283845963,38.700218559532885,-0.8048289767560175,1.0,0.0,133.53328459729948,91.02387746662679,41.46446981191265
2,79,"[140,219)",165.48160584038175,125.04313885323045,41.905789165352545,-0.3765537434681625,1.0,0.0,148.22968668594535,104.23452848958236,43.199172433416706
3,96,"[219,315)",168.3879374728596,123.56720676006563,45.27913996195725,0.08593334585630807,1.0,0.0,154.27598076537305,105.6922175444021,47.63871226789771
4,103,"[315,418)",164.1743308436783,117.85484603776509,44.453966301255406,0.09339967886901634,1.0,0.0,152.8180538043268,105.59509508310748,45.37001002428464
5,83,"[418,501)",159.27083929792474,114.7077789761192,44.06646931797563,-0.39006321478704287,1.0,0.0,153.47516867669228,107.8660747488267,46.41930441044768
