scan,fold,method,et_mm,eR_deg,iters,on_bound
42,0,Raw,150.21328773280908,5.119417902988753,40,0
42,0,Huber,130.3204110096332,5.029722092212317,40,0
42,0,PatchOOF,112.94992760224555,6.469870558556769,37,0
42,0,PatchHuberOOF,91.00773936206882,6.366483212694356,40,0
42,0,PatchFullFit,112.07521187864853,6.4074414547705,39,0
43,0,Raw,145.48377781991528,4.628984226391266,23,0
43,0,Huber,124.9158255647655,3.754481749373204,40,0
43,0,PatchOOF,112.78973964885722,6.170282640985167,27,0
43,0,PatchHuberOOF,89.12443598069252,5.072639519404641,40,0
43,0,PatchFullFit,111.44948314378118,6.067725840088896,27,0
44,0,Raw,148.71642313707548,5.298613715002552,34,0
44,0,Huber,128.3794864942668,4.363813962097732,40,0
44,0,PatchOOF,114.11520659503324,6.658910640626342,40,0
44,0,PatchHuberOOF,92.57808342161356,5.893359361557225,40,0
44,0,PatchFullFit,112.98038631461513,6.580235143903086,40,0
45,0,Raw,150.5500665247735,6.201918388752534,40,0
45,0,Huber,130.81258325552278,5.299803218265207,39,0
45,0,PatchOOF,113.62324512970649,7.29312267257023,40,0
45,0,PatchHuberOOF,94.49597508962256,6.718069614574976,40,0
45,0,PatchFullFit,112.88951672428485,7.26857863316525,40,0
46,0,Raw,153.71366578835097,4.753168445143489,24,0
46,0,Huber,133.949350430999,3.913531106142878,40,0
46,0,PatchOOF,116.9970167421994,5.871510470317188,34,0
46,0,PatchHuberOOF,98.46752658405515,5.330268042086384,40,0
46,0,PatchFullFit,116.28141231374065,5.8343654427038825,38,0
47,0,Raw,160.4758643315692,5.154530730737947,37,0
47,0,Huber,142.45191792165852,4.689143610882617,40,0
47,0,PatchOOF,124.00494697414766,5.786655753312428,40,0
47,0,PatchHuberOOF,109.55653339004236,5.835763706309694,40,0
47,0,PatchFullFit,122.82462923932471,5.784232534484252,40,0
48,0,Raw,157.37343486060928,5.147159091821697,37,0
48,0,Huber,141.40092361923413,4.7650539072567355,28,0
48,0,PatchOOF,120.2714520676523,5.962150778965448,40,0
48,0,PatchHuberOOF,108.3195678208793,5.786582543025877,40,0
48,0,PatchFullFit,118.48410399846652,5.994394280975753,40,0
49,0,Raw,146.34510465975413,3.816889646041194,30,0
49,0,Huber,132.52810312100544,3.358738560767494,40,0
49,0,PatchOOF,110.73357331451338,4.875804551758119,34,0
49,0,PatchHuberOOF,96.25006004478706,4.5676530433228,24,0
49,0,PatchFullFit,109.41018995143034,4.8460179414677045,31,0
50,0,Raw,149.84050863679676,5.492094852243943,40,0
50,0,Huber,136.4228932872893,4.757181333947007,40,0
50,0,PatchOOF,111.70780602703692,6.2654973614419625,40,0
50,0,PatchHuberOOF,99.6732673580493,5.802586188461545,40,0
50,0,PatchFullFit,111.08161071790043,6.217961571810586,40,0
51,0,Raw,161.54767054974485,5.6920869335548305,40,0
51,0,Huber,144.36044377390084,4.89801287911567,29,0
51,0,PatchOOF,125.42485901206895,6.11561056349942,40,0
51,0,PatchHuberOOF,108.82868900498681,5.7464557710945225,40,0
51,0,PatchFullFit,124.6379027901713,6.102829528002945,40,0
52,0,Raw,165.11404010032882,4.6585666695505585,24,0
52,0,Huber,143.1490615673607,3.9510368273624907,40,0
