trajectory,method,level,n,et_med,et_iqr,et_p25,et_p75,eR_med,eR_iqr,captureA_rate,captureB_rate,safeguard_rate,itercap_rate,numfail_rate,solvervalid_rate,posthoc,PatchRaw_gain_t_med,PatchRaw_frac_pos,PHHuber_gain_t_med,PHHuber_frac_pos
III,Huber,L4,80,32.134900134879445,40.80247062810235,17.97983412590785,58.7823047540102,1.0992817906688095,1.0316926283323016,1.0,0.575,0.0,0.9125,0.0,1.0,1,8.435603740722676,0.6625,1.3975517243154076,0.5125
III,Huber,L5,80,38.98770881757503,48.79826182002027,18.992341901893656,67.79060372191393,1.7760113844395804,2.6003348596392737,1.0,0.35,0.0,0.9875,0.0,1.0,1,7.309176184588022,0.6625,2.712077149822262,0.575
III,Huber,L6,80,61.07396773958187,71.92517131472559,27.23545054891964,99.16062186364523,3.1201007702972676,9.977150998350572,0.8125,0.225,0.225,0.7625,0.0,0.775,1,7.382478987075022,0.675,2.765967792650766,0.5875
III,Patch,L0,20,40.17632928142175,25.66744921965099,29.895357195902783,55.56280641555377,1.9442214176809185,1.5167547605145373,0.0,0.45,0.05,0.55,0.0,0.95,1,7.604031927956303,0.7,1.867923774001655,0.5
III,Patch,L1,80,40.16514992473831,25.61493543192919,29.907473010390817,55.52240844232001,1.9242879068934982,1.5353596812572607,0.0,0.45,0.05,0.525,0.0,0.95,1,7.836170918435869,0.675,1.9121579158384918,0.5
III,Patch,L2,80,40.123324744131196,25.16822146178514,30.0850931134208,55.25331457520594,1.931384398125937,1.5626564242716894,0.0375,0.4625,0.05,0.55,0.0,0.95,1,8.050445200177446,0.6625,2.1096323074190497,0.5
III,Patch,L3,80,40.015413107240946,24.804423247495297,30.059729750021955,54.86415299751725,2.0000000000000004,1.4005212643102387,0.4375,0.4375,0.05,0.625,0.0,0.95,1,8.449216866556913,0.6625,1.5349065275771867,0.5125
III,Patch,L4,80,40.00064855796144,23.730917519223382,30.259581139489818,53.9904986587132,2.072666700783907,1.6119229861665625,0.8875,0.425,0.0625,0.825,0.0,0.9375,1,8.435603740722676,0.6625,1.3975517243154076,0.5125
III,Patch,L5,80,40.07038976115102,23.59266953108581,30.52816017509631,54.12082970618212,2.1447874545391454,2.264462159396885,0.9,0.3875,0.0625,0.9,0.0,0.9375,1,7.309176184588022,0.6625,2.712077149822262,0.575
III,Patch,L6,80,41.025946098734934,34.12169384894766,32.75700241792414,66.8786962668718,2.710151521571038,3.5475318941624057,0.875,0.325,0.1625,0.8125,0.0,0.8375,1,7.382478987075022,0.675,2.765967792650766,0.5875
III,PatchHuber,L0,20,34.87109702998595,15.28032645451323,28.50659724800483,43.78692370251806,1.7269474366291373,1.1223219208191533,0.0,0.7,0.0,0.95,0.0,1.0,1,7.604031927956303,0.7,1.867923774001655,0.5
III,PatchHuber,L1,80,34.50870222126855,15.774855557937933,28.24168088995267,44.0165364478906,1.728051339306358,1.19890707045304,0.0,0.6625,0.0,0.8375,0.0,1.0,1,7.836170918435869,0.675,1.9121579158384918,0.5
III,PatchHuber,L2,80,34.22796444732733,16.260281583167682,27.654749246598513,43.915030829766195,1.6957099486327958,1.1089004282340074,0.0125,0.65,0.0,0.825,0.0,1.0,1,8.050445200177446,0.6625,2.1096323074190497,0.5
III,PatchHuber,L3,80,34.8506280274707,16.181703980578085,27.835921022163,44.017625002741084,1.7575440951563155,1.064452318342924,0.625,0.625,0.0,0.8125,0.0,1.0,1,8.449216866556913,0.6625,1.5349065275771867,0.5125
III,PatchHuber,L4,80,37.12478253776642,15.65630390731566,28.437758435183326,44.09406234249899,2.013701719106969,1.2964342313737671,0.9875,0.45,0.0,0.925,0.0,1.0,1,8.435603740722676,0.6625,1.3975517243154076,0.5125
III,PatchHuber,L5,80,38.82554295516289,17.893890113030885,29.373715339957272,47.26760545298816,2.7493310297323577,2.345641871192403,1.0,0.2625,0.0,0.9875,0.0,1.0,1,7.309176184588022,0.6625,2.712077149822262,0.575
III,PatchHuber,L6,80,44.124232992910706,54.58121846987885,32.71456253442092,87.29578100429977,3.6670807124567713,6.738268458401895,0.8625,0.2125,0.2,0.8,0.0,0.8,1,7.382478987075022,0.675,2.765967792650766,0.5875
III,Raw,L0,20,49.212914254572006,48.538737865476406,34.0103622436105,82.54910010908691,1.5776327383200153,1.1246373288803995,0.0,0.35,0.05,0.55,0.0,0.95,1,7.604031927956303,0.7,1.867923774001655,0.5
III,Raw,L1,80,49.21953915293139,48.74440348935235,33.82962043723987,82.57402392659222,1.5778528617419498,1.156516497666416,0.0,0.35,0.05,0.55,0.0,0.95,1,7.836170918435869,0.675,1.9121579158384918,0.5
III,Raw,L2,80,49.24594759108028,48.86564308978469,33.69492519365128,82.56056828343597,1.5740100991754078,1.1872696771585967,0.0125,0.35,0.05,0.5625,0.0,0.95,1,8.050445200177446,0.6625,2.1096323074190497,0.5
III,Raw,L3,80,49.25794452055992,48.756741155976684,33.82402725764308,82.58076841361977,1.691663665398181,1.198749633972025,0.35,0.35,0.05,0.7,0.0,0.95,1,8.449216866556913,0.6625,1.5349065275771867,0.5125
III,Raw,L4,80,49.30878474896793,48.369801110840086,34.22198419926255,82.59178531010264,1.8150726418721415,1.4348513219182353,0.9,0.3125,0.0625,0.85,0.0,0.9375,1,8.435603740722676,0.6625,1.3975517243154076,0.5125
III,Raw,L5,80,49.55541067379011,48.329292607686995,34.242697188479866,82.57198979616686,2.1511274789456114,1.9097850531403435,0.9,0.2625,0.0625,0.9375,0.0,0.9375,1,7.309176184588022,0.6625,2.712077149822262,0.575
III,Raw,L6,80,62.904733759803406,58.709557989052875,35.617227764211485,94.32678575326436,2.5505089255379194,7.1945838105048425,0.8125,0.2125,0.225,0.775,0.0,0.775,1,7.382478987075022,0.675,2.765967792650766,0.5875
IV,Huber,L0,20,105.14329753257412,14.557268044938453,100.64552336670242,115.20279141164087,1.9314134298785985,0.6721262919389381,0.0,0.0,0.0,1.0,0.0,1.0,0,5.052362188655593,0.75,-2.9896762572625946,0.4
IV,Huber,L1,80,105.12608519236582,15.687109695183437,100.78357026672347,116.47067996190691,1.9286164926880631,0.8817632820955803,0.0,0.0,0.0,1.0,0.0,1.0,0,5.013500465267299,0.725,-3.215504156208219,0.375
IV,Huber,L2,80,107.7949362619452,20.746786867972105,98.24553715091113,118.99232401888324,1.9661123148225976,0.8815785831156495,0.0,0.0,0.0,1.0,0.0,1.0,0,5.171990561364922,0.7625,-3.6370834043895712,0.3875
IV,Huber,L3,80,108.79904426851418,27.177173966920805,97.02914108517476,124.20631505209556,2.1840899730941823,1.5694160047653254,0.0,0.0,0.0,1.0,0.0,1.0,0,5.829543911270065,0.7625,-2.7562548958148554,0.4125
