trajectory,frame_id,method,perturbation_level,direction_id,translation_init_mm,rotation_init_deg,final_translation_error_mm,final_rotation_error_deg,iterations,termination_reason,hit_iteration_cap,hit_translation_boundary,hit_rotation_boundary,final_objective,ref_translation_error_mm,ref_rotation_error_deg,delta_init_t_mm,delta_init_r_deg,posthoc,safeguard,numerical_failure,solver_valid,capture_A,capture_B
VI,0,Raw,L0,none,0.0,0.0,148.82663013139725,4.916122977551957,25,tol,0,0,0,0.0040286394297944,148.82663013139725,4.916122977551957,0.0,0.0,0,0,0,1,False,False
VI,0,Raw,L1,v1,10.0,0.5,148.71669304944496,4.946212741947339,25,tol,0,0,0,0.0040286377543236,148.82663013139725,4.916122977551957,-0.109937081952296,0.0300897643953819,0,0,0,1,False,False
VI,0,Raw,L1,v2,10.0,0.5,148.67315977221773,4.95467599919246,27,tol,0,0,0,0.0040286358056735,148.82663013139725,4.916122977551957,-0.1534703591795221,0.038553021640503,0,0,0,1,False,False
VI,0,Raw,L1,v3,10.0,0.5,149.19672351826884,4.7596151785110585,36,tol,0,0,0,0.004028803280797,148.82663013139725,4.916122977551957,0.3700933868715879,-0.1565077990408987,0,0,0,1,False,False
VI,0,Raw,L1,v4,10.0,0.5,148.31232128156367,5.035390861914942,25,tol,0,0,0,0.0040287353661577,148.82663013139725,4.916122977551957,-0.5143088498335828,0.1192678843629844,0,0,0,1,False,False
VI,0,Raw,L2,v1,30.0,1.0,148.94792468961185,4.853460215713534,23,tol,0,0,0,0.0040286520462283,148.82663013139725,4.916122977551957,0.1212945582146005,-0.062662761838423,0,0,0,1,False,False
VI,0,Raw,L2,v2,30.0,1.0,148.32169572510136,5.026530273456818,28,tol,0,0,0,0.0040287259958272,148.82663013139725,4.916122977551957,-0.504934406295888,0.1104072959048609,0,0,0,1,False,False
VI,0,Raw,L2,v3,30.0,1.0,149.5192109054809,4.684817622144786,40,cap,1,0,0,0.0040291005074225,148.82663013139725,4.916122977551957,0.6925807740836376,-0.2313053554071711,0,0,0,1,False,False
VI,0,Raw,L2,v4,30.0,1.0,148.23027778660534,5.120895487156951,40,cap,1,0,0,0.0040289371984906,148.82663013139725,4.916122977551957,-0.5963523447919101,0.2047725096049939,0,0,0,1,False,False
VI,0,Raw,L3,v1,50.0,2.0,148.7715213829641,4.938319395592419,28,tol,0,0,0,0.0040286345669303,148.82663013139725,4.916122977551957,-0.055108748433156,0.0221964180404619,0,0,0,1,False,False
VI,0,Raw,L3,v2,50.0,2.0,148.3039486304481,5.04013038064297,34,tol,0,0,0,0.0040287430177406,148.82663013139725,4.916122977551957,-0.5226815009491474,0.1240074030910127,0,0,0,1,False,False
VI,0,Raw,L3,v3,50.0,2.0,149.9756584653433,4.471224721167559,40,cap,1,0,0,0.0040312042015852,148.82663013139725,4.916122977551957,1.1490283339460348,-0.4448982563843984,0,0,0,1,False,False
VI,0,Raw,L3,v4,50.0,2.0,148.1557895792971,5.215938763124316,40,cap,1,0,0,0.0040293255059435,148.82663013139725,4.916122977551957,-0.6708405521001453,0.2998157855723589,0,0,0,1,False,False
