traj,level,n,median,mean,L5_lo,L5_hi
iv,cos_global,156,0.4225989500208156,0.4175197838757282,0.3911711212325458,0.44572300557797667
iv,cos_patch,156,0.6303487078154197,0.6420366986919106,0.5788017595673924,0.7239948524741255
iv,cos_full,156,0.8406880432570483,0.8255391304874613,0.8110961825506685,0.8667192299813651
ii,cos_global,428,0.7182003059289721,0.7186320908871032,0.6924718312581497,0.7420781415987346
ii,cos_patch,428,0.890091329961328,0.8692612809293712,0.8698173718405282,0.9098383150805496
ii,cos_full,428,0.7881211922311466,0.6995695149003996,0.7222457902634479,0.8309060172083287
v,cos_global,1868,0.03006083763849133,-0.019277819216686802,0.013076659420958352,0.05279510369940523
v,cos_patch,1868,0.5136826971095352,0.49743967929835425,0.46673032806833914,0.5537294409842463
v,cos_full,1868,0.9017127725835603,0.7231795071860948,0.887043137422123,0.9135353113474698
