traj,order,scan,cos_global,cos_patch,cos_full
v,0,0,0.11258846092479714,0.8477374279009006,0.9251657236780775
v,1,1,0.09580722199100922,0.8639447062421011,0.9346514103146969
v,2,2,0.08555892838833973,0.8577369285976161,0.9543400751802862
v,3,3,0.07925391141537703,0.8486313613721898,0.9384963875400782
v,4,4,0.1293099798739391,0.8326825598774221,0.9336832912068257
v,5,5,0.13778905437485137,0.80649654420431,0.9265288343434581
v,6,6,0.15291244356037967,0.8303331970169219,0.9455989042813528
v,7,7,0.21320582078990652,0.8377126070472424,0.9501176706413799
v,8,8,0.21312678089366427,0.8580217942479893,0.955587783188976
v,9,9,0.22386937875029048,0.8796243598602467,0.9380388347519544
v,10,10,0.2351247205946841,0.8665216275263752,0.9193375844539771
v,11,11,0.23209624810211973,0.8494747253067888,0.9012390478952393
v,12,12,0.1997394795468848,0.8466590292289047,0.8926460233845868
v,13,13,0.13639055619673354,0.8336528989614627,0.9216278422639598
v,14,14,0.11411826061548129,0.822723107101175,0.8983861927470567
v,15,15,0.11847230907476373,0.8116686472423245,0.9306745722637757
v,16,16,0.1305525355994376,0.8195040447266938,0.9846981849805082
v,17,17,0.17681067551747473,0.8535853795302827,0.9963632293914798
v,18,18,0.1516146297702098,0.882519672562363,0.9942140449499692
v,19,19,0.5606957987378135,0.8390356124634265,0.9477706600959139
v,20,20,0.11999196977935374,0.9148364643417354,0.962311998568373
v,21,21,0.08829601605913155,0.8975074419792286,0.9488256806526647
v,22,22,0.07597725600243456,0.883301342710854,0.9461133115345012
v,23,23,0.10532499419046869,0.8772369527259845,0.9732743538399835
v,24,24,0.08037454739891357,0.869790224127157,0.9385654789426755
v,25,25,0.07945604745779832,0.8645193163094734,0.8957222749067708
v,26,26,0.09678897494999712,0.8688542576684859,0.7578117605620265
v,27,27,0.10074040584812805,0.9014950655668952,0.78002870525315
v,28,28,0.09855378831609382,0.9459543255249856,0.7172970546236898
v,29,29,0.07890580384512659,0.975729154380852,0.9687067353123626
v,30,30,0.06566273275616229,0.9673296306294689,0.9729285034591263
v,31,31,0.049398663726779805,0.9560677250137496,0.9624969283658881
v,32,32,0.04048784289820073,0.9416642529248302,0.9469860859744718
v,33,33,0.07168539661228261,0.9325814952159416,0.9392810349573505
v,34,34,0.08448687722418179,0.9294087603270901,0.942257641983827
v,35,35,0.08413419162168084,0.9230372233670392,0.9417606009419571
v,36,36,0.1007363249967959,0.9208891851656555,0.9449083947796664
v,37,37,0.09444377913404316,0.9320459942492036,0.9589272313210506
v,38,38,0.1898250118612583,0.9598678127851505,0.9446671053177623
v,39,39,0.11554937172460124,0.9659331651200426,0.9491146140977448
v,40,40,0.13758570280641183,0.9579006751189504,0.9344673578178896
v,41,41,0.12839864301471912,0.9451479456866365,0.9142553863891325
v,42,42,0.10945356037782358,0.9262330179873361,0.9007811290728273
v,43,43,0.10800542402049118,0.9117529412514142,0.8646294290364698
v,44,44,0.06820387200716539,0.8969032443521732,0.8329743302641501
v,45,45,0.024156768313950146,0.890218084200872,0.7965558802612281
v,46,46,0.05985362043692929,0.8925900921633816,0.7931911026414856
v,47,47,0.10050856067428622,0.9314087411966987,0.8734794499229549
v,48,48,0.08139464774127059,0.9535688084504141,0.9230385307078935
v,49,49,0.11647894044600673,0.9644770613078822,0.9027395017783
v,50,50,0.044562928622877265,0.9592503521656024,0.9259937724151537
v,51,51,0.05025873537922269,0.9591232322073718,0.9288263561246654
v,52,52,0.044477973847215975,0.9465408730539029,0.8766967810416825
v,53,53,-0.02316966353837556,0.9367561085650866,0.9108344169459276
v,54,54,0.082007879038418,0.9149896593615148,0.880774527962848
v,55,55,0.022172463698844756,0.9061073703501652,0.8729687629141875
v,56,56,0.10754250709701255,0.9134375464831489,0.8875079456295117
v,57,57,0.09525652516601296,0.9577721660571985,0.9457829307172485
v,58,58,0.0759139882995789,0.9789404440362643,0.9700066389961786
v,59,59,0.12139959922804897,0.9817956325401506,0.9662242641706925
v,60,60,0.11888035916208546,0.9790800200634312,0.9678496368889783
v,61,61,0.08262423758537955,0.9726326479750583,0.9731730468745521
v,62,62,0.1050942985210236,0.9578068158396045,0.9721431999598433
v,63,63,0.10292802939140636,0.9432673776158403,0.9661931861279458
v,64,64,0.11941512111641246,0.9359518048723426,0.9669838067815024
v,65,65,0.1349290165050802,0.9377670831672013,0.973533858527699
v,66,66,0.1517704236610209,0.9309526723472421,0.9725314589460744
v,67,67,0.15180867641907422,0.9455637522780617,0.9806942771078186
v,68,68,0.16857920496886614,0.9801788224539083,0.9776714460638531
v,69,69,0.1782053561249191,0.9751333532998692,0.98042810054678
v,70,70,0.20587201322748352,0.9647379252770454,0.9468998942915521
v,71,71,0.19421796236328098,0.9550097346864368,0.9421154283430648
v,72,72,0.2252180755132611,0.9322394397966518,0.925198498450284
v,73,73,0.21545552386608707,0.9279074013878289,0.9192706434863319
v,74,74,0.16532195572376318,0.9275765096746247,0.9295809522856046
v,75,75,0.16719669374906787,0.9220891358426783,0.9796745368317169
v,76,76,0.15872242468843306,0.9227664095499946,0.9431429310789244
v,77,77,0.1558097899750572,0.9382586297322021,0.9647314503111547
v,78,78,0.141999733437567,0.9660439637789076,0.9774685542092427
v,79,79,0.17390808065801075,0.9878307080296769,0.97480419423778
v,80,80,0.1297542235201197,0.98489619843743,0.9805094231123508
v,81,81,0.13703824103325735,0.9733878930527948,0.9909308787226669
v,82,82,0.367270348729787,0.9223964212466461,0.9050343635904462
v,83,83,0.1274734975167155,0.9413742490817435,0.9575389254746368
v,84,84,0.10076848443579738,0.9310133741097494,0.9582650744548324
v,85,85,0.08731049087896019,0.9336490969474248,0.9755507285285173
v,86,86,0.08369110169127458,0.9294951293656296,0.9317398332020936
v,87,87,0.08464465254141518,0.9441950378690201,0.9119158379584427
v,88,88,0.08877416990811254,0.9776489890263287,0.8356352370654037
v,89,89,0.05927644369576098,0.9620253367634604,0.8038355068175451
v,90,90,0.013588516052540604,0.7354534700115907,0.6530893488734281
v,91,91,0.015048859014264341,0.76923033610075,0.9261723577388224
v,92,92,0.007869110267888313,0.8158281408992932,0.9348384465089467
v,93,93,0.008203535767974363,0.8433826460254776,0.9449889129530934
v,94,94,0.021435591721111258,0.8509625738859237,0.9354289048936334
v,95,95,0.008050841121068929,0.8516818615533165,0.9217883709690298
v,96,96,0.03629052788856994,0.8306328900546954,0.9013644002139392
v,97,97,0.04124787418658796,0.8185957546565652,0.896003580534756
v,98,98,0.08940836735785967,0.8035976279191489,0.8830786426535304
v,99,99,0.1216104075172685,0.7802222650449258,0.8600021985095592
v,100,100,0.04712249530564386,0.753245422475159,0.8595559514007647
v,101,101,0.05314985111128515,0.7592214912010391,0.8546301778788453
v,102,102,0.14793403034816527,0.7686903628363307,0.836348364596284
v,103,103,0.1236195533154416,0.7756301431618898,0.8276998157937392
v,104,104,0.13043275866337337,0.7916163559443201,0.8311497466777906
v,105,105,0.059680934366423605,0.7788719877937776,0.8140375110401488
v,106,106,0.04790518167464655,0.7678187786756714,0.7492674664423609
v,107,107,0.06543680951339953,0.7743278201123653,0.765106656660661
v,108,108,-0.011024124412525007,0.7433244540137622,0.7128577255843985
v,109,109,0.034826291309322965,0.7221000694148363,0.7091448361201179
v,110,110,0.0674975531418889,0.6876389478281081,0.6889437480553441
v,111,111,0.05704654563189572,0.6650356347337981,0.6578089558270886
v,112,112,0.03811133953656378,0.6879116452499362,0.7022614646301076
v,113,113,0.07908858632082916,0.7014531752027482,0.6972455279563373
v,114,114,-0.0047928249708717495,0.7525201273921501,0.7085417114478222
v,115,115,0.01734306340445032,0.7755676469904966,0.7136995317026047
v,116,116,-0.01213019414640054,0.8029943239911966,0.8284624042820359
v,117,117,0.006887068374608875,0.7981226245559758,0.796445694178378
v,118,118,0.029886223464206062,0.8030201312137187,0.7957793400693802
v,119,119,0.0827572241373849,0.7883177635835901,0.7886597983192517
v,120,120,0.05664956413349934,0.7447773925481649,0.7777101990972511
v,121,121,0.049986480736164886,0.7238689406773107,0.7993831309492442
v,122,122,0.09117960264236444,0.6996850300306028,0.8218108091557338
v,123,123,0.08058982787791885,0.6836476063059843,0.8149895400804367
v,124,124,0.1303131203531497,0.7496844288819602,0.9045811658003803
v,125,125,0.10571802509325032,0.7639439027618765,0.8923714512043058
v,126,126,0.07241652029196839,0.7829150400448497,0.9464672558232287
v,127,127,0.10671478874908859,0.781365350425073,0.9508733092850935
v,128,128,0.08028150417705861,0.7745933397407336,0.9258478617099747
v,129,129,0.08425045268852302,0.7726623663886466,0.9342789804147135
v,130,130,0.07584185325384624,0.7501464742764495,0.9484707475444251
v,131,131,0.13107860275768857,0.7211268709690459,0.9861373792378023
v,132,132,0.1251317856005382,0.7096757173301137,0.932575196217467
v,133,133,0.171772484491512,0.7023117119794009,0.9429585043722283
v,134,134,0.2044381144345002,0.7138593679817229,0.9352867670991176
v,135,135,0.2148354655147137,0.7830784892549352,0.9672939291352234
v,136,136,0.182302977913643,0.7978381586446462,0.9566916596344259
v,137,137,0.17699824420672533,0.7996381116662862,0.9352827370013617
v,138,138,0.1340374329885157,0.786591039079375,0.9903328499487386
v,139,139,0.10622054020490215,0.7455536349343465,0.8976614445936018
v,140,140,0.08740263848380952,0.7311656991116204,0.9132567287300061
v,141,141,0.479312693265156,0.6001441673975133,0.795654278725365
v,142,142,0.25962795459363436,0.6411862163928435,0.8981987970625893
v,143,143,0.0769152701318489,0.6689867386049911,0.9579116850291145
v,144,144,0.0302354518127766,0.6544922891376014,0.9626123315099272
v,145,145,0.06768009356105577,0.6673128953651535,0.9923165645591245
v,146,146,0.02415922219880815,0.6923114620804677,0.9990543879354051
v,147,147,0.017157028480644813,0.7262730927836304,0.9798754393560108
v,148,148,0.03056883785892723,0.7314276404821508,0.9806522549842063
v,149,149,0.053327639772326914,0.7733083692377738,0.9869607834271591
v,150,150,0.02850212460916684,0.7829906511777226,0.9403339321585212
v,151,151,0.04486590325795078,0.7808216736703558,0.9158075772598372
v,152,152,0.07532706857267504,0.7512022222070313,0.8744285083548269
v,153,153,0.028267761717352395,0.7177819377839492,0.7889614825474163
v,154,154,0.02318689435016979,0.7051012755381322,0.6897602916637146
v,155,155,-0.00777280679209878,0.699433878304324,0.9535631714837254
v,156,156,-0.0013417057447545056,0.7192675546240119,0.9343992449739955
v,157,157,0.018145865776400583,0.7649891051232017,0.952780380025331
v,158,158,-0.0014898193050645488,0.8138749118747014,0.9555725027702388
v,159,159,0.0026972254922591797,0.8390174562788177,0.951929868753554
v,160,160,0.011098778499563734,0.8515169514004778,0.9402659270991361
v,161,161,0.004792209677829076,0.8528471180892694,0.9512210647166321
v,162,162,-0.0012060679567635123,0.8307100729093676,0.9199771567983631
v,163,163,0.033914893988752914,0.7942509091481541,0.8945231971673643
v,164,164,0.0591313495810023,0.7681710489173624,0.8658696894178929
v,165,165,0.07873215181904318,0.7364860593786152,0.8426891129528107
v,166,166,0.033704910107016664,0.7315543532878566,0.8429098761521826
v,167,167,0.11878089848297756,0.7357950201731384,0.8151543897436317
v,168,168,0.09915195675484886,0.7380484765624599,0.8216908074204682
v,169,169,0.1380193426053303,0.7537633352282286,0.815889910108597
v,170,170,0.10716113919514145,0.7521433367286787,0.7737680189834969
v,171,171,0.07346136939149218,0.7623851703827058,0.7206164204877099
v,172,172,-0.007754570022254564,0.751374199490987,0.7441549916913427
v,173,173,-0.030579978345791535,0.7503237729986819,0.7424136646664048
v,174,174,0.032430507275181035,0.7216704959617476,0.6567956241801901
v,175,175,0.026194324375557482,0.7126317689004316,0.672014468390963
v,176,176,0.007905892462529795,0.6782217751345916,0.6459198532826209
v,177,177,0.014044097701071767,0.6598431088251738,0.5992816438085883
v,178,178,0.014567566501642178,0.650865000254503,0.5334079927667356
v,179,179,0.05541983552679439,0.6591047532308105,0.5322430562758311
v,180,180,0.0014317875431282155,0.7136875144978692,0.45895610471348636
v,181,181,0.0052238358817996424,0.7530598778526169,0.6555410377297683
v,182,182,-0.04879853691359321,0.7791150888293726,0.6245116202302089
v,183,183,-0.0010118065745088381,0.7955070953855269,0.664835683742751
v,184,184,0.01264780221041594,0.8061364670409248,0.7958845651259006
v,185,185,-0.00889399674852682,0.7878349660448334,0.7725810406785645
v,186,186,0.032520788036715646,0.7620727028053148,0.7684949089866139
v,187,187,0.0874436572947178,0.7316542254610832,0.7446551477299506
v,188,188,0.044827513589228124,0.6906109424428981,0.7496970190227978
v,189,189,0.08630558730506496,0.6977476504491368,0.7765486070226434
v,190,190,0.10645053530161626,0.6823000705372227,0.7882455917121295
v,191,191,0.07206812890877137,0.6895909413435288,0.8417897779627999
v,192,192,0.07849796475742608,0.7265876866906029,0.8701119856957721
v,193,193,0.05327563101860038,0.737496500494882,0.9015008645017637
v,194,194,0.08780683252108125,0.7567910999127492,0.9138027289179358
v,195,195,0.04649174203308914,0.7647345007070111,0.9385613776130397
v,196,196,0.05500247342161035,0.7678089356282876,0.9191235397229505
v,197,197,0.07061988989747481,0.7518241088825324,0.9725297456903832
v,198,198,0.08773011100122301,0.7424356829921506,0.949302092812782
v,199,199,0.1195392120791461,0.714659167503445,0.9779517660893144
v,200,200,0.142386458030054,0.6990309614706937,0.9347939567184602
v,201,201,0.16077469869885175,0.7061869416304014,0.9506741920842671
v,202,202,0.2183907259853513,0.7204920102019151,0.967553507474431
v,203,203,0.233897802642627,0.7594300617019685,0.9644521291162624
v,204,204,0.20660332930879297,0.7819828740979228,0.9582074115481239
v,205,205,0.17280309149729403,0.8030819318231,0.9549312453877695
v,206,206,0.15645792091512262,0.7907759886831295,0.9736653307120242
v,207,207,0.0978487445402943,0.7690150441241673,0.9300041816818301
v,208,208,0.12197192290360824,0.7505624379191964,0.9608991795853372
v,209,209,0.05895174135741934,0.7417750329667533,0.9137018140023149
v,210,210,0.5268693727913093,0.6023190999183758,0.8682667842968425
v,211,211,0.05734684361622012,0.6848699965339747,0.9705874486207717
v,212,212,0.1072000583830642,0.6730119056368714,0.964991943219259
v,213,213,0.08645719651151115,0.6800752799205895,0.984408157471585
v,214,214,0.08153985849963999,0.6723251127167567,0.9883880719633868
v,215,215,0.06696231565116112,0.6890950293800376,0.9851550286108729
v,216,216,0.04530051159618662,0.7016023846319417,0.986976200964058
v,217,217,0.021783708475846986,0.7302024788981188,0.9898129126758081
v,218,218,0.004016289057372068,0.7512190406734564,0.9984330410593358
v,219,219,0.02834651109285419,0.7895374260354977,0.9910905095268888
v,220,220,0.04525704893797374,0.7789222830311077,0.9530630015117024
v,221,221,0.045739064911920514,0.7879504844613056,0.8915239314061503
v,222,222,0.08378024314403232,0.7668633972472395,0.9009580891434948
v,223,223,0.07598528923412759,0.7594379966087972,0.7535275317296615
v,224,224,0.042002341116246567,0.7294677603210122,0.7010800201208
v,225,225,0.01615065805348058,0.6878787131786179,0.9610053523407498
v,226,226,0.004312976287583309,0.6988386598666547,0.9497685200520367
v,227,227,0.024071765493125667,0.7408590155426402,0.9572510065210091
v,228,228,0.04142954465708323,0.7982431842614434,0.961655534556388
v,229,229,0.020552614550536474,0.8205425139110645,0.9608412256449204
v,230,230,0.013244279436456922,0.8447433499356835,0.9580601164234219
v,231,231,0.004838193419575377,0.8726415900638808,0.9554581193344074
v,232,232,0.03157809129477837,0.8732500058455975,0.9602171004024767
v,233,233,0.04922642715279313,0.8602971986744947,0.9375752866836757
v,234,234,0.006106121949372666,0.8222115978785529,0.928226138381042
v,235,235,0.030792623835853006,0.7972084581718628,0.8948667863244569
v,236,236,0.05099713564911688,0.7808416667487845,0.875953685043991
v,237,237,0.2205582616993758,0.7553732013033251,0.8221443432804036
v,238,238,0.09134360080707116,0.7326197684595136,0.8312004035242846
v,239,239,0.1283811792243076,0.7370751143751245,0.8251359233339367
v,240,240,0.13528902387146274,0.7447789920068316,0.8367815974728463
v,241,241,0.13442676951790533,0.7536552833045875,0.8487180868851694
v,242,242,0.16615360764590892,0.7680170867268705,0.8297400396784396
v,243,243,0.0955700903655863,0.7516111765907751,0.7908791199585941
v,244,244,0.04040860043479829,0.7590107954483433,0.7595045063276479
v,245,245,0.11385374970033796,0.7796866659191763,0.6927592603943655
v,246,246,0.04836808750495895,0.7543851849565875,0.6933450114602958
v,247,247,0.02616370216744893,0.7162923514636819,0.6492313878506965
v,248,248,0.0676155645883112,0.712644006877567,0.6203169931499608
v,249,249,0.04260896864765256,0.7000560392248514,0.6553362063866837
v,250,250,0.04140575280828299,0.6870847610056925,0.6155190225506365
v,251,251,0.012909039405459781,0.6539283442370631,0.556924170113772
v,252,252,0.008479738967967419,0.6617987372205886,0.5004082632227418
v,253,253,0.050961904065205205,0.7024561022221336,0.5031705985325695
v,254,254,0.01216609647409077,0.7564105409769937,0.47499174219076634
v,255,255,0.02631585040373439,0.7939781494331509,0.48643329004398694
v,256,256,-0.06057871460145307,0.7983510162528209,0.3580035563691045
v,257,257,-0.0053059141785799955,0.7964540053628443,0.6155741058644131
v,258,258,0.007283688556988101,0.8217496710751431,0.6165297660440082
v,259,259,0.02379517806195322,0.8156367826867683,0.6152534362032486
v,260,260,0.02572723361002454,0.7743207692568318,0.5489426815837052
v,261,261,0.08871723816796792,0.7686787849768998,0.7416271896710546
v,262,262,0.09328665471276316,0.7348250147603279,0.7194141324577744
v,263,263,0.06320186068357145,0.7263090253994363,0.7515074138879757
v,264,264,0.09524494883277831,0.728917371182888,0.8030147275952125
v,265,265,0.13397342621623387,0.6982144057279087,0.7654540100018026
v,266,266,0.1397753481125859,0.7051557160936445,0.8001308509004506
v,267,267,0.08340221157673999,0.7166073680624779,0.8621287099533664
v,268,268,0.1359402126435316,0.7395469227264737,0.8792335581784555
v,269,269,0.06725935629473717,0.7380585047265382,0.8875464628590287
v,270,270,0.08765430397009684,0.750186486402278,0.9171997755570788
v,271,271,0.09855902574239249,0.7763376767584922,0.931035869520247
v,272,272,0.050045648321383904,0.7729754389478121,0.9524526842375759
v,273,273,0.10036366325835729,0.7714541612194198,0.9698829214574575
v,274,274,0.07462151625012403,0.7284391419820092,0.9533922590125588
v,275,275,0.10799903814560682,0.7340843680303824,0.9143562444225862
v,276,276,0.11079540994909892,0.7201385353223699,0.9962425483373379
v,277,277,0.17709850236387048,0.7231592787381447,0.9593472437794401
