traj,order,scan,cos_global,cos_patch,cos_full
iv,216,216,0.5333149108110782,0.8842946287437122,0.984281040834077
iv,217,217,0.4874502332020081,0.8652265640514542,0.9807350033543585
iv,218,218,0.49225736925726044,0.879706709046061,0.979528937351633
iv,219,219,0.49493338941250886,0.861734652551553,0.9698594200526596
iv,220,220,0.479240511182481,0.8556674084388783,0.9485731735368487
iv,221,221,0.47156215050779327,0.8235840695724341,0.9377873320906748
iv,222,222,0.46727094566292576,0.8176413468395105,0.9368594567719101
iv,223,223,0.46791858330064634,0.7814286753908384,0.9089805043369706
iv,224,224,0.4737299344664269,0.7684129702531848,0.8920670521014028
iv,225,225,0.4790822535014039,0.7920996137877914,0.9167920167099076
iv,226,226,0.4985784500719546,0.823023131077327,0.9244437008945968
iv,227,227,0.4719983217228565,0.8042898773547404,0.906618235961142
iv,228,228,0.48275750735013306,0.8137014471608572,0.90226845334336
iv,229,229,0.4796877790249403,0.8101742095650974,0.8880179231930124
iv,230,230,0.5079708543886772,0.8144847135290407,0.9000231624756683
iv,231,231,0.4666947408409914,0.7781450680392908,0.9015970078315865
iv,232,232,0.4770485822273648,0.7835009628161116,0.9129051653673359
iv,233,233,0.4731326916182632,0.7924956610835284,0.9351723442516314
iv,234,234,0.4643518348727349,0.7849748674091714,0.9644617848193757
iv,235,235,0.45258648447680516,0.795680091355315,0.9788201239748582
iv,236,236,0.4616692278414621,0.7962017116218002,0.9788177833027873
iv,237,237,0.43857706423946824,0.7902225233129316,0.9689788277992525
iv,238,238,0.42795535339355256,0.7513758677546796,0.9372278487744216
iv,239,239,0.43432544248678306,0.7407125362726688,0.9194139529608278
iv,240,240,0.4478249604053053,0.7640072528930848,0.9057579980451287
iv,241,241,0.502587351815403,0.7692107274367241,0.9002679008591655
iv,242,242,0.4907340620086131,0.7806290643031473,0.9082713458855322
iv,243,243,0.4700399571552314,0.7703068665219371,0.9004024525724182
iv,244,244,0.505616926541933,0.7834726446628425,0.9192072878125864
iv,245,245,0.489973151515143,0.7723600536947408,0.8949756011968065
iv,246,246,0.5141965577226124,0.7908733762935342,0.8887740688129888
iv,247,247,0.49623093675159496,0.7788289078211377,0.882874437686366
iv,248,248,0.4807904960298551,0.7854134824634927,0.8666590688065415
iv,249,249,0.5030737234862916,0.7767066412675044,0.8640918957331418
iv,250,250,0.5339439757275137,0.7885442359952278,0.8760355469115282
iv,251,251,0.5521043956712515,0.7893362714843327,0.8553220737299443
iv,252,252,0.509116281573433,0.7732313132978832,0.803254621537583
iv,253,253,0.47028598093469354,0.7429040937606514,0.7596028484391304
iv,254,254,0.4416813276218317,0.7005718723543367,0.723006920828154
iv,255,255,0.4318734406842384,0.6904691899531211,0.7600704429140036
iv,256,256,0.4301342620092724,0.7277151910590736,0.813348029966592
iv,257,257,0.4635966019954739,0.7704037144648056,0.8578042325520797
iv,258,258,0.45019687076091675,0.7355180125644486,0.8185670759630346
iv,259,259,0.42632819644972486,0.7298358074589428,0.819670237655226
iv,260,260,0.46471667297631536,0.7260960144656772,0.834143662996798
iv,261,261,0.4364893220591554,0.7001439287277305,0.8253168919295557
iv,262,262,0.4370874421566848,0.683988394148441,0.8554680320844615
iv,263,263,0.40941394659017555,0.6998458221897892,0.8960396055396584
iv,264,264,0.42636330760900815,0.6916953156414475,0.8982407138424668
iv,265,265,0.39636214181811147,0.6986084788694737,0.8836595979153424
iv,266,266,0.4032271701364873,0.7150498304965212,0.8902791167715938
iv,267,267,0.4041989585957566,0.7239682554868908,0.8928703502791744
iv,268,268,0.3722769051555323,0.7002563210300937,0.8402908885124158
iv,269,269,0.35004890618508006,0.698641458903264,0.8281786253710893
iv,270,270,0.4306579636314401,0.7746770368569071,0.8941367679495245
iv,271,271,0.43069615748940965,0.7790764118275039,0.9007369200335557
iv,272,272,0.44385561778328175,0.7759613996796467,0.9215673179191826
iv,273,273,0.4753691668295648,0.8110986284370355,0.9438671977994473
iv,274,274,0.44763293693942885,0.7876241724399256,0.941379707865196
iv,275,275,0.4686507393297803,0.8017435522253152,0.9519043518467345
iv,276,276,0.44421767421405983,0.7925218939071643,0.9342587595182675
iv,277,277,0.44518651011066396,0.8081240666730293,0.9233209081120627
iv,278,278,0.42407840166680255,0.7912478639811813,0.8898697438975767
iv,279,279,0.3750679833489404,0.7333126706272985,0.8609194122286944
iv,280,280,0.3383274637924712,0.6832147672897784,0.8036177216734737
iv,281,281,0.35026552340999234,0.6407447635754348,0.7902116624740594
iv,282,282,0.35916953613950564,0.6344021878144042,0.7805483580516641
iv,283,283,0.3928986691936162,0.6626728922122903,0.8035601906379687
iv,284,284,0.4587340713603465,0.7293827386033137,0.8354643987463134
iv,285,285,0.4603162957572853,0.7609088409188729,0.8667793911561887
iv,286,286,0.3792635588395428,0.7213336018550758,0.8539087272233312
iv,287,287,0.35182115870737224,0.6998685599949335,0.8489978605461099
iv,288,288,0.3513305686636419,0.685482450366566,0.8568200686942089
iv,289,289,0.3529539160274965,0.6611805986341194,0.8088444251171268
iv,290,290,0.3440920714593582,0.6262952278164352,0.7482335698934295
iv,291,291,0.3213465331393263,0.5933187852102586,0.7671420147788525
iv,292,292,0.3208178167988486,0.5722972057672545,0.7991268811416713
iv,293,293,0.3092002137058276,0.5374456783933466,0.8059214800123125
iv,294,294,0.34146668665991964,0.5467944543256074,0.8436172733196232
iv,295,295,0.3433587562057598,0.5447079450759285,0.8548662727711724
iv,296,296,0.33848372204548094,0.5308052561788097,0.8850522413397748
iv,297,297,0.3243899128095264,0.5167606234318471,0.8733299329886357
iv,298,298,0.295179004169234,0.4937783799751565,0.8617393553011061
iv,299,299,0.30766151799404456,0.5173405778222975,0.8686344359324533
iv,300,300,0.35318499672968867,0.5449782648677243,0.8793153069402979
iv,301,301,0.3025241380422735,0.5230681847019455,0.8422543162235778
iv,302,302,0.3209579773443167,0.5417049549118275,0.8194065267997669
iv,303,303,0.3494379472441128,0.5558435762561191,0.7976147079422508
iv,304,304,0.35500967364769415,0.5880719771752473,0.7584932964843045
iv,305,305,0.3795686871167777,0.5974184937766515,0.7371809966164016
iv,306,306,0.4100290582859451,0.613123773270718,0.7225555253024593
iv,307,307,0.41227078898764286,0.6094821271329034,0.6964878188815383
iv,308,308,0.454130001104944,0.6405942713393195,0.7049334320295361
iv,309,309,0.45938975907913115,0.6344844045471681,0.701972832853241
iv,310,310,0.47708280040050965,0.6390456308163364,0.6936989641715602
iv,311,311,0.4677954675604551,0.6358216046004307,0.6679218074494812
