traj,order,scan,ndist,in_support,arm,et_mm,eR_deg,corr_dir_cos,disp_dir_cos
iii,0,0,2.412317086013498,False,T0_raw,95.99954471591228,2.0936156585348384,,
iii,0,0,2.412317086013498,False,oracle,39.28144758507505,2.088066296704488,,
iii,0,0,2.412317086013498,False,est_gtstart,39.28718591412202,2.08763268285825,,
iii,0,0,2.412317086013498,False,est_warmstart,39.71485081526579,1.8634531980207985,,
iii,0,0,2.412317086013498,False,view_gap,0.26242235671516956,31.610427994561263,0.9999999999168627,0.9999999961984168
iii,1,1,2.411303360132923,False,T0_raw,98.42020889491306,2.0111238394018476,,
iii,1,1,2.411303360132923,False,oracle,40.43283357491365,2.4000638932606786,,
iii,1,1,2.411303360132923,False,est_gtstart,40.43009878032621,2.4000026014482483,,
iii,1,1,2.411303360132923,False,est_warmstart,41.2033597964375,2.2220634198209357,,
iii,1,1,2.411303360132923,False,view_gap,0.26588032619195834,35.40153442534333,0.99999999988907,0.9999999994616376
iii,2,2,2.410787416132602,False,T0_raw,100.92541261307326,2.363968757235463,,
iii,2,2,2.410787416132602,False,oracle,46.37099247916504,2.38601815760103,,
iii,2,2,2.410787416132602,False,est_gtstart,46.340093792558164,2.387161606968443,,
iii,2,2,2.410787416132602,False,est_warmstart,47.80037535402175,2.148800295738134,,
iii,2,2,2.410787416132602,False,view_gap,0.2684428739730053,39.87555933730036,0.9999999998398634,0.9999999105719164
iii,3,3,2.4104424244366762,False,T0_raw,103.43658297443832,2.208967320236248,,
iii,3,3,2.4104424244366762,False,oracle,47.03300402232787,2.640965548702717,,
iii,3,3,2.4104424244366762,False,est_gtstart,47.02460165405924,2.6413168765719957,,
iii,3,3,2.4104424244366762,False,est_warmstart,48.51408066983773,2.3119480027990766,,
iii,3,3,2.4104424244366762,False,view_gap,0.2758098629305075,40.33583546759445,0.9999999998140164,0.9999999839669904
iii,4,4,2.4060899998539815,False,T0_raw,114.55928253657531,2.1733531951142715,,
iii,4,4,2.4060899998539815,False,oracle,58.3676725440237,2.423074801656405,,
iii,4,4,2.4060899998539815,False,est_gtstart,59.445045222087415,2.519915940761608,,
iii,4,4,2.4060899998539815,False,est_warmstart,60.619253968103564,2.1880426643698514,,
iii,4,4,2.4060899998539815,False,view_gap,0.3081736755355829,42.53089670554289,0.9991244712143765,0.9990574879372751
iii,5,5,2.3928000686679907,False,T0_raw,122.09194798541746,2.0255932359548705,,
iii,5,5,2.3928000686679907,False,oracle,64.89888431323625,1.7913123282843137,,
iii,5,5,2.3928000686679907,False,est_gtstart,64.89949452681338,1.7913321188096891,,
iii,5,5,2.3928000686679907,False,est_warmstart,65.53458184150439,1.6794443185834247,,
iii,5,5,2.3928000686679907,False,view_gap,0.31478298543730104,55.934979324483436,0.999999999714482,0.999999999908274
iii,6,6,2.374049934723871,False,T0_raw,120.54595131838991,1.7159560530525804,,
iii,6,6,2.374049934723871,False,oracle,65.52964445097405,2.018790389733118,,
iii,6,6,2.374049934723871,False,est_gtstart,65.52350212968864,2.018604680836971,,
iii,6,6,2.374049934723871,False,est_warmstart,65.77984398683927,1.6061156658838314,,
