g0_huber,g0_ls,g0_trim,g0_selfnull_et,M0_raw_p2p,M1_raw_p2l,M2_raw_huber,M3_global_corr,M4_patch_corr,M5_full_corr,T0_raw,est_gtstart,est_warmstart,oracle,scan,range_m,in_support
82.41074941765012,95.99954471591228,81.73360153604273,1.201274479441088e-13,95.99954471591228,98.01468565429487,82.41074941765012,91.38004173182951,68.08275633200306,39.28144758507521,95.99954471591228,39.28718591412202,39.71485081526579,39.28144758507505,0,19.77533705613384,False
82.23684481533029,98.42020889491306,79.45461395123671,9.710675384723929e-14,98.42020889491306,100.82918317067355,82.23684481533029,93.09176260001183,69.82763907955827,40.43283357491371,98.42020889491306,40.43009878032621,41.2033597964375,40.43283357491365,1,19.77180584090904,False
83.42101316089811,100.92541261307326,80.79492899923707,1.599923903925e-13,100.92541261307326,103.34949658703017,83.42101316089811,94.5637407184134,74.03171876816712,46.37099247916504,100.92541261307326,46.340093792558164,47.80037535402175,46.37099247916504,2,19.768727789319698,False
83.99655571260178,103.43658297443832,79.88227567186046,5.594987467379873e-14,103.43658297443832,106.27442464787259,83.99655571260178,97.11543018481456,76.43121262393736,47.03300402232787,103.43658297443832,47.02460165405924,48.51408066983773,47.03300402232787,3,19.7663114259606,False
94.87795501742065,114.55928253657531,89.70982676669938,6.218445317332135e-14,114.55928253657531,117.30071072514342,94.87795501742065,108.38960727703149,88.52144450927607,58.3676725440237,114.55928253657531,59.445045222087415,60.619253968103564,58.3676725440237,4,19.75545285620966,False
100.04733279887618,122.09194798541746,92.83784763279206,1.672597535394866e-13,122.09194798541746,125.44836125058212,100.04733279887618,114.01670402031372,94.0521690966533,64.89888431323625,122.09194798541746,64.89949452681338,65.53458184150439,64.89888431323625,5,19.725484934043543,False
99.93033604971949,120.54595131838991,91.52954568302938,7.074716182472083e-14,120.54595131838991,126.04775662764672,99.93033604971949,112.28222979958214,92.59439124765905,65.52964445097405,120.54595131838991,65.52350212968864,65.77984398683927,65.52964445097405,6,19.6841115890861,False
96.27679808472276,117.28662637024482,89.12330261700922,1.6697558267765786e-13,117.28662637024482,121.62494445217298,96.27679808472276,109.24823795173329,89.88054755217357,65.20543294236252,117.28662637024482,65.20553016453592,65.99481754013436,65.20543294236246,7,19.643162121212512,False
91.81767991738319,113.82475768546067,84.94106790091166,3.0444273447339115e-14,113.82475768546067,117.36886898895364,91.81767991738319,106.00058965832888,86.01497908994179,61.97564756828901,113.82475768546067,61.97669746530891,62.480347974275375,61.97564756828914,8,19.60276369526919,False
91.00585152692372,112.47938224994843,84.2438338184292,9.477688342229655e-14,112.47938224994843,115.13286852184841,91.00585152692372,104.78804047201162,86.51759382477066,63.0205216320347,112.47938224994843,64.28249288269507,65.82701634511827,63.0205216320352,9,19.56301223570605,False
86.74570309961723,106.04362609930821,81.23748105577985,3.46971799190965e-14,106.04362609930821,106.8866679055332,86.74570309961723,99.34385279756265,79.20350288955102,56.060043267612734,106.04362609930821,56.708561204632204,57.93575395141919,56.060043267613246,10,19.52389446738171,False
87.43634075108186,108.94247805636788,80.56617690355068,1.3756094656547374e-13,108.94247805636788,107.90517361379007,87.43634075108186,102.17573180978935,83.17760237600157,58.407190303892186,108.94247805636788,58.416312236988404,60.27268706613753,58.407190303892186,11,19.48530463734981,False
87.09802279269259,129.55552025904993,79.64087951671709,9.819209125020509e-14,129.55552025904993,143.4117107468336,87.09802279269259,118.36265562215792,105.46228316509627,89.720432553746,129.55552025904993,89.72082411378881,90.48413339291524,89.720432553747,12,19.447455317828396,False
86.6445236595974,119.9743575973556,82.02733718890964,3.836298902887396e-14,119.9743575973556,166.65224813683068,86.6445236595974,110.69981711438331,96.22940506089509,75.58121988272102,119.9743575973556,75.5794278185051,75.89241222008083,75.58121988272102,13,19.410146467416315,False
88.62152355035315,112.80971309156455,82.29796305761522,1.1740182486190613e-13,112.80971309156455,110.6550028901599,88.62152355035315,106.23988937310315,87.1258932214988,64.66818132780813,112.80971309156455,64.66763763437177,66.00118795517267,64.66818132780813,14,19.376798985726747,False
87.75710389788034,108.46612624586936,82.25532874614929,1.6817929382580236e-13,108.46612624586936,107.977563474102,87.75710389788034,101.9407075129065,84.75813793251514,58.680986910489246,108.46612624586936,59.7434181675669,60.21393864608536,58.680986910489246,15,19.343765034098844,False
86.70001374650923,109.36130875964567,81.7818667012685,1.0832302917411486e-13,109.36130875964567,107.10335048973631,86.70001374650923,102.5631626173038,85.77096459845447,57.178004692582924,109.36130875964567,57.18726609588634,57.607192770978486,57.178004692582924,16,19.31101725699938,False
86.8668545522539,108.11255800511614,81.36957734171831,5.951549056712699e-14,108.11255800511614,104.61611595259124,86.8668545522539,100.91672683647552,80.62169349496553,51.157466661556136,108.11255800511614,51.15744910176382,51.76947632896356,51.157466661556136,17,19.27870606932981,False
85.4281322230764,108.2822085704411,80.81564977533206,5.611099775661108e-14,108.2822085704411,104.58145459888233,85.4281322230764,101.02202095840536,80.03047372859135,49.92379669047378,108.2822085704411,50.02568993879256,50.524829283097134,49.92379669047368,18,19.24669665543337,False
84.58432518488911,107.26215443888772,79.5923967606265,4.518821468812872e-14,107.26215443888772,103.56808730202496,84.58432518488911,100.60652471043781,78.84536063366602,50.65664876504413,107.26215443888772,50.65289772305404,51.74349816668846,50.65664876504413,19,19.214846615842685,False
87.44795794954165,114.63977429440101,81.48439470251643,7.982673647365017e-14,114.63977429440101,109.30490467223206,87.44795794954165,107.44192084245111,85.50099287596846,62.203891340344654,114.63977429440101,63.194536586377566,63.83628217424128,62.203891340344654,20,19.183007229642648,False
88.07775052952715,119.51685358289284,81.95681166155771,6.650040441487188e-14,119.51685358289284,164.25096528267304,88.07775052952715,111.62310458541775,89.28714242816233,64.34285394413186,119.51685358289284,64.33908220595033,65.16554866512581,64.34285394413156,21,19.15125187734455,False
85.702918063156,117.45896447390079,80.42826283120843,1.2599455555653462e-13,117.45896447390079,180.85026153809855,85.702918063156,109.23410182289949,90.42599968628348,74.38811730939686,117.45896447390079,75.04170089761068,75.35999311759481,74.38811730939686,22,19.119514590819147,False
84.29357977072004,116.92176463526225,78.53473524901898,6.341238897323521e-14,116.92176463526225,189.85074853291297,84.29357977072004,108.73133259235634,87.25381079683936,73.96344719970168,116.92176463526225,73.95394189380454,74.26536475356498,73.96344719970168,23,19.087661996009484,False
86.04486241637271,155.46592294707025,79.60618686845046,1.5335905653097734e-13,155.46592294707025,127.12739437963697,86.04486241637271,141.612007308484,135.72681255555804,140.29535998221772,155.46592294707025,140.29529964410273,140.40001763636477,140.2953599822181,24,19.05600193719316,False
85.1760085159787,189.40522367533208,77.62871998085816,3.4694469519536136e-14,189.40522367533208,103.81758273957436,85.1760085159787,173.85547819266677,176.82402956664146,186.7377293423213,189.40522367533208,186.7319564338941,181.10725628233644,186.7377293423213,25,19.024606009364412,False
85.11322432904272,134.6010803894136,76.40713339557472,1.159518615071142e-13,134.6010803894136,198.6780904481881,85.11322432904272,120.77960346259412,111.1121813911233,143.7384256325688,134.6010803894136,143.7382372133871,142.94429403816437,143.73842563256852,26,18.99335238412356,False
