method,et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,iters,traj,order,scan,view,ndist,in_support,nearest_d
M2_raw_huber,86.6445236595974,1.896335273587657,0.027764798897901666,0.06702258962319846,0.064086613784276,17,iii,13,13,oracle,2.249650475267596,False,2.249650475267596
M3_global_corr,110.69981711438331,3.9049349938634,0.045331630634747544,0.06702258962319846,0.06348489363248934,40,iii,13,13,oracle,2.249650475267596,False,2.249650475267596
M4_patch_corr,96.22940506089509,5.502986385876695,0.03257967071118961,0.06702258962319846,0.06371262388167058,40,iii,13,13,oracle,2.249650475267596,False,2.249650475267596
M5_full_corr,75.58121988272102,4.774790052290344,0.02316847228775898,0.06702258962319846,0.06425213279119847,35,iii,13,13,oracle,2.249650475267596,False,2.249650475267596
M0_raw_p2p,112.80971309156455,2.0491715858517288,0.04175829487985309,0.00788766409628233,0.005492965557733129,40,iii,14,14,oracle,2.2346582691407715,False,2.2346582691407715
M1_raw_p2l,110.6550028901599,1.9036776254657444,0.038384041403060114,0.00788766409628233,0.005518982305563,40,iii,14,14,oracle,2.2346582691407715,False,2.2346582691407715
M2_raw_huber,88.62152355035315,1.5527976144218112,0.024347606420983825,0.00788766409628233,0.005672823422791627,40,iii,14,14,oracle,2.2346582691407715,False,2.2346582691407715
M3_global_corr,106.23988937310315,2.0441003502716897,0.033667989472968014,0.00788766409628233,0.005652742286190426,40,iii,14,14,oracle,2.2346582691407715,False,2.2346582691407715
M4_patch_corr,87.1258932214988,3.1287796792823293,0.020668308407494444,0.00788766409628233,0.005911571649050151,40,iii,14,14,oracle,2.2346582691407715,False,2.2346582691407715
M5_full_corr,64.66818132780813,2.4934098284145136,0.01433668094036636,0.00788766409628233,0.006453879066403238,40,iii,14,14,oracle,2.2346582691407715,False,2.2346582691407715
M0_raw_p2p,108.46612624586936,1.8483019927285194,0.04139644295184662,0.0073182462028220365,0.004991058274059901,39,iii,15,15,oracle,2.2192400211651564,False,2.2192400211651564
M1_raw_p2l,107.977563474102,1.5966319205710184,0.038675939707658445,0.0073182462028220365,0.005013259365275801,19,iii,15,15,oracle,2.2192400211651564,False,2.2192400211651564
M2_raw_huber,87.75710389788034,1.6426570647680434,0.022312129634338082,0.0073182462028220365,0.005164202546962136,40,iii,15,15,oracle,2.2192400211651564,False,2.2192400211651564
M3_global_corr,101.9407075129065,1.8473748134197256,0.033082931399130246,0.0073182462028220365,0.005172094969886452,39,iii,15,15,oracle,2.2192400211651564,False,2.2192400211651564
M4_patch_corr,84.75813793251514,2.9059082117203734,0.0201876787181667,0.0073182462028220365,0.005379072842249243,40,iii,15,15,oracle,2.2192400211651564,False,2.2192400211651564
M5_full_corr,58.680986910489246,2.0841535557130224,0.014129615596167126,0.0073182462028220365,0.005880952962923042,38,iii,15,15,oracle,2.2192400211651564,False,2.2192400211651564
M0_raw_p2p,109.36130875964567,2.1907817410330246,0.0418097387135352,0.0070580080492432685,0.004740939691307977,40,iii,16,16,oracle,2.204254425982587,False,2.204254425982587
