kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,traj,order,scan,ndist,in_support,block,n
p2p,ls,1,0.042619229577616685,95.99954471591228,2.0936156585348384,0.0058324875924864504,0.003665463144493847,0.0021670244479926036,40,iii,0,0,2.412317086013498,False,0,9342
p2p,ls,0,1.3682740292686443e-05,1.201274479441088e-13,1.2470125420028893e-14,,2.350556484748341e-31,,2,iii,0,0,2.412317086013498,False,0,9342
p2p,huber,1,0.01957941099893075,82.41074941765012,1.8625601894657668,0.0014849884455617117,0.0007275934988745825,0.0007573949466871292,40,iii,0,0,2.412317086013498,False,0,9342
p2p,huber,0,6.8413701463431315e-06,1.201274479441088e-13,1.2470125420028893e-14,,2.350556484748341e-31,,2,iii,0,0,2.412317086013498,False,0,9342
p2p,trim,1,0.025573809210553328,81.73360153604273,1.8710085391813487,0.001392451142739658,0.0002917421295255047,0.0011007090132141534,40,iii,0,0,2.412317086013498,False,0,9342
p2p,trim,0,1.7068414466333927e-05,6.502899658938412e-14,5.054969553348573e-15,,3.164982393804104e-31,,2,iii,0,0,2.412317086013498,False,0,9342
p2l,ls,1,0.036358695038908206,98.01468565429487,2.209862321176959,0.005361610486578068,0.003354089637005781,0.002007520849572287,40,iii,0,0,2.412317086013498,False,0,9342
p2l,ls,0,7.734425192438313e-06,0.0,0.0,,0.0,,2,iii,0,0,2.412317086013498,False,0,9342
p2l,huber,1,0.017901457968289795,82.13076840260966,1.5101956097435811,0.0013259148567353494,0.0006229398911598577,0.0007029749655754917,40,iii,0,0,2.412317086013498,False,0,9342
p2l,huber,0,3.867212596219182e-06,0.0,0.0,,0.0,,2,iii,0,0,2.412317086013498,False,0,9342
p2l,trim,1,0.02156811203610627,80.38586860115043,1.4484593244375643,0.0011127441222137744,0.00020217137547184482,0.0009105727467419296,40,iii,0,0,2.412317086013498,False,0,9342
p2l,trim,0,9.367387312629233e-06,0.0,0.0,,0.0,,2,iii,0,0,2.412317086013498,False,0,9342
p2p,ls,1,0.04283326417233546,98.42020889491306,2.0111238394018476,0.006232924138833936,0.003956695477150215,0.0022762286616837208,40,iii,1,1,2.411303360132923,False,0,9347
p2p,ls,0,1.1034145882272206e-05,9.710675384723929e-14,3.97819013525014e-15,,1.3067693443547119e-31,,2,iii,1,1,2.411303360132923,False,0,9347
p2p,huber,1,0.019898962964167818,82.23684481533029,1.7469204326549825,0.0015915108188093898,0.0008331428561556034,0.0007583679626537865,40,iii,1,1,2.411303360132923,False,0,9347
p2p,huber,0,5.517072941136214e-06,9.710675384723929e-14,3.97819013525014e-15,,1.3067693443547119e-31,,2,iii,1,1,2.411303360132923,False,0,9347
p2p,trim,1,0.026233984523913123,79.45461395123671,1.64724806361345,0.001471405723596159,0.0003296648341535145,0.0011417408894426446,40,iii,1,1,2.411303360132923,False,0,9347
p2p,trim,0,1.3171822179388627e-05,1.548331809054955e-13,1.3098781209782256e-13,,2.0559858920171825e-30,,2,iii,1,1,2.411303360132923,False,0,9347
p2l,ls,1,0.040066342606192566,100.82918317067355,2.2024428436282792,0.005790211404182845,0.003686847621288992,0.002103363782893853,19,iii,1,1,2.411303360132923,False,0,9347
p2l,ls,0,4.983307293684885e-06,0.0,0.0,,0.0,,2,iii,1,1,2.411303360132923,False,0,9347
p2l,huber,1,0.017788620317415228,81.74267504025613,1.4206906412822566,0.0014250610259632732,0.0007254628920276497,0.0006995981339356235,40,iii,1,1,2.411303360132923,False,0,9347
p2l,huber,0,2.4916536468423573e-06,0.0,0.0,,0.0,,2,iii,1,1,2.411303360132923,False,0,9347
p2l,trim,1,0.022342479157736978,78.9878797238451,1.2728479619169701,0.0011960725845292623,0.0002333555074824066,0.0009627170770468557,40,iii,1,1,2.411303360132923,False,0,9347
p2l,trim,0,4.8677229096271466e-06,0.0,0.0,,0.0,,2,iii,1,1,2.411303360132923,False,0,9347
p2p,ls,1,0.043895617790299955,100.92541261307326,2.363968757235463,0.006723909676564291,0.004339028760041155,0.002384880916523136,39,iii,2,2,2.410787416132602,False,0,9224
p2p,ls,0,8.032610927109849e-06,1.599923903925e-13,1.3502292804837964e-14,,2.378730398303104e-31,,2,iii,2,2,2.410787416132602,False,0,9224
p2p,huber,1,0.019999118591938057,83.42101316089811,1.86314024838388,0.0017264257740053175,0.0009292965433021092,0.0007971292307032083,40,iii,2,2,2.410787416132602,False,0,9224
p2p,huber,0,4.016305463555294e-06,1.599923903925e-13,1.3502292804837964e-14,,2.378730398303104e-31,,2,iii,2,2,2.410787416132602,False,0,9224
p2p,trim,1,0.02654227933862837,80.79492899923707,1.642955233358545,0.0015627518746397083,0.00036014754868636545,0.0012026043259533428,40,iii,2,2,2.410787416132602,False,0,9224
p2p,trim,0,1.04277750665782e-05,6.434865484555645e-14,7.05449700254615e-15,,7.171428637494226e-32,,2,iii,2,2,2.410787416132602,False,0,9224
p2l,ls,1,0.04195955633742713,103.34949658703017,2.68489630994411,0.0062200882080912685,0.004023196640009546,0.0021968915680817226,26,iii,2,2,2.410787416132602,False,0,9224
p2l,ls,0,2.919663306967303e-06,0.0,0.0,,0.0,,2,iii,2,2,2.410787416132602,False,0,9224
p2l,huber,1,0.018570692266917092,83.3288281894715,1.6443972034885848,0.0015176674889667886,0.0008103331512046295,0.0007073343377621591,32,iii,2,2,2.410787416132602,False,0,9224
p2l,huber,0,1.459831653483621e-06,0.0,0.0,,0.0,,2,iii,2,2,2.410787416132602,False,0,9224
p2l,trim,1,0.022302334804203496,79.33593880158004,1.3550566737298915,0.0012540038242481175,0.000255386836928022,0.0009986169873200956,33,iii,2,2,2.410787416132602,False,0,9224
