dataset,condition,metric,value,note
VI,raw,spearman_torquenorm_vs_gn_p2l,0.4452056206312475,Spearman r between ||torque|| and ||J^T W delta||; p=9.21e-26
VI,raw,spearman_J0_vs_gn_p2p,0.9002090798482717,Spearman r between residual energy J0 and pose-active ||g||; p=2.71e-182
VI,raw,spearman_J0_vs_gn_p2l,0.829322422883317,Spearman r between residual energy J0 and pose-active ||g||; p=3.18e-128
IV,raw,cos_t_median_p2p,0.9462324365621111,"IV held-out (n=2428); IQR=[0.846,0.977]"
IV,raw,cos_t_median_p2l,0.3768475434338102,"IV held-out (n=2428); IQR=[0.032,0.682]"
IV,N1,cos_t_median_p2p,0.9839260430801133,"IV held-out (n=2428); IQR=[0.913,0.996]"
IV,N1,cos_t_median_p2l,0.25590967400825027,"IV held-out (n=2428); IQR=[-0.527,0.844]"
IV,N2,cos_t_median_p2p,0.9801657464798303,"IV held-out (n=2428); IQR=[0.885,0.996]"
IV,N2,cos_t_median_p2l,0.22446324547756763,"IV held-out (n=2428); IQR=[-0.434,0.788]"
IV,N3,cos_t_median_p2p,0.9883788625749093,"IV held-out (n=2428); IQR=[0.952,0.996]"
IV,N3,cos_t_median_p2l,0.3124958728995515,"IV held-out (n=2428); IQR=[-0.181,0.725]"
V,raw,cos_t_median_p2p,0.6475291802095866,V held-out (n=1868); median translation direction cosine
V,raw,cos_t_median_p2l,0.18936742606573095,V held-out (n=1868); median translation direction cosine
II,raw,cos_t_median_p2p,0.9914231991216584,II held-out (n=1253); median translation direction cosine
II,raw,cos_t_median_p2l,0.6881212792614839,II held-out (n=1253); median translation direction cosine
VI,raw,landscape_descent_agreement_p2p,0.8489687292082502,"fraction of (frame,axis,scale) probes where predicted descent side has lower full-NN J than J0; n=9018"
VI,raw,landscape_descent_agreement_small_p2p,0.9291417165668663,same but smallest scale only (most local); n=3006
VI,raw,landscape_descent_agreement_p2l,0.783433133732535,"fraction of (frame,axis,scale) probes where predicted descent side has lower full-NN J than J0; n=9018"
VI,raw,landscape_descent_agreement_small_p2l,0.8399866932801064,same but smallest scale only (most local); n=3006
G_GENERALITY,D1_appendage_disp,et_median_ls,4.444495295087889,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D1_appendage_disp,eR_median_ls,0.0178888419833583,median endpoint rotation error (deg)
G_GENERALITY,D1_appendage_disp,et_median_huber,2.4104756688779174,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D1_appendage_disp,eR_median_huber,0.023357847946013748,median endpoint rotation error (deg)
G_GENERALITY,D1_appendage_disp,et_median_trim,1.1295473099698672,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D1_appendage_disp,eR_median_trim,0.01187084677956585,median endpoint rotation error (deg)
G_GENERALITY,D3_local_surface_off,et_median_ls,1.5637221659289646,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D3_local_surface_off,eR_median_ls,0.09290690596772415,median endpoint rotation error (deg)
G_GENERALITY,D3_local_surface_off,et_median_huber,0.5337607345936122,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D3_local_surface_off,eR_median_huber,0.01523645346605205,median endpoint rotation error (deg)
G_GENERALITY,D3_local_surface_off,et_median_trim,0.040713526065557504,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D3_local_surface_off,eR_median_trim,0.00234400188051525,median endpoint rotation error (deg)
G_GENERALITY,D5_appendage_tilt,et_median_ls,0.1316878025411179,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D5_appendage_tilt,eR_median_ls,0.09278984769939685,median endpoint rotation error (deg)
G_GENERALITY,D5_appendage_tilt,et_median_huber,0.1647999068363099,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D5_appendage_tilt,eR_median_huber,0.08719370517334596,median endpoint rotation error (deg)
G_GENERALITY,D5_appendage_tilt,et_median_trim,0.1291317058006801,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D5_appendage_tilt,eR_median_trim,0.0459681437522425,median endpoint rotation error (deg)
G_GENERALITY,D4_appendage_scale,et_median_ls,0.06474043933165816,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D4_appendage_scale,eR_median_ls,0.007797324314247501,median endpoint rotation error (deg)
G_GENERALITY,D4_appendage_scale,et_median_huber,0.09643352507060746,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D4_appendage_scale,eR_median_huber,0.008315330957945451,median endpoint rotation error (deg)
G_GENERALITY,D4_appendage_scale,et_median_trim,0.0442662004472043,median endpoint translation error over doses; on_bound_frac=0.000
G_GENERALITY,D4_appendage_scale,eR_median_trim,0.0035356603510044,median endpoint rotation error (deg)
G_GENERALITY,D2_missing_component,et_median_ls,0.0518162668462807,median endpoint translation error over doses; on_bound_frac=0.111
G_GENERALITY,D2_missing_component,eR_median_ls,0.00481204600377725,median endpoint rotation error (deg)
G_GENERALITY,D2_missing_component,et_median_huber,0.03203011732451015,median endpoint translation error over doses; on_bound_frac=0.056
G_GENERALITY,D2_missing_component,eR_median_huber,0.00299217778858945,median endpoint rotation error (deg)
G_GENERALITY,D2_missing_component,et_median_trim,0.03562253852561035,median endpoint translation error over doses; on_bound_frac=0.072
G_GENERALITY,D2_missing_component,eR_median_trim,0.004660900421777451,median endpoint rotation error (deg)
G_GENERALITY,D1_appendage_disp@50mm_p2p,et_median_ls,39.16299536763985,"D1 appendage displacement 50mm dose, p2p, ls loss"
